agent_id,o_zone_id,d_zone_id,from_node_id,to_node_id,timestamp,cumu_distance,hhmmss,trace_id,travel_time,delay,speed,geometry
1,0,0,1606,1438,66097,7.20,1821:37,165,66098,66097,0.0,"LINESTRING (-112.030179 33.462160,)"
1,0,0,1438,1439,66097,10.67,1821:37,165,0,0,12.5,"LINESTRING (-112.030233 33.462114,)"
1,0,0,1439,1442,66097,14.46,1821:37,165,0,0,13.6,"LINESTRING (-112.030255 33.462089,)"
1,0,0,1442,1607,66097,21.54,1821:37,165,0,0,25.5,"LINESTRING (-112.030275 33.462119,)"
1,0,0,1607,751,66097,85.70,1821:37,165,0,0,231.0,"LINESTRING (-112.030332 33.462160,-112.030353 33.462175,-112.030457 33.462234,-112.030568 33.462295,-112.030696 33.462356,-112.030811 33.462406,)"
1,0,0,751,619,66118,502.98,1821:58,166,21,0,71.5,"LINESTRING (-112.030922 33.462460,-112.031331 33.462549,-112.031479 33.462570,-112.031690 33.462589,-112.031899 33.462594,-112.032107 33.462592,-112.032304 33.462580,-112.032471 33.462562,-112.032707 33.462514,-112.033220 33.462410,-112.033563 33.462345,-112.033695 33.462319,-112.034016 33.462265,-112.034398 33.462231,-112.034854 33.462222,)"
1,0,0,619,180,66139,622.01,1822:19,167,21,14,20.4,"LINESTRING (-112.035354 33.462164,-112.035833 33.462171,)"
1,0,0,180,869,66139,806.95,1822:19,167,0,0,665.8,"LINESTRING (-112.036636 33.462207,-112.037013 33.462226,-112.037709 33.462278,)"
1,0,0,869,716,66139,1094.10,1822:19,167,0,0,1033.8,"LINESTRING (-112.038621 33.462358,-112.039136 33.462402,-112.040178 33.462493,-112.040534 33.462513,-112.040961 33.462505,)"
1,0,0,716,719,66139,1479.36,1822:19,167,0,0,1386.9,"LINESTRING (-112.041706 33.462467,-112.043162 33.462324,-112.043804 33.462280,-112.044362 33.462248,-112.045060 33.462243,)"
1,0,0,719,769,66139,1560.56,1822:19,167,0,0,292.3,"LINESTRING (-112.045844 33.462205,)"
1,0,0,769,731,66139,2273.44,1822:19,167,0,0,2566.4,"LINESTRING (-112.046719 33.462225,-112.048100 33.462236,-112.050931 33.462270,-112.051604 33.462272,-112.052949 33.462217,-112.053695 33.462175,)"
1,0,0,731,720,66139,2657.14,1822:19,167,0,0,1381.3,"LINESTRING (-112.054399 33.462142,-112.055134 33.462124,-112.055895 33.462107,)"
1,0,0,720,1876,66139,3009.03,1822:19,167,0,0,1266.8,"LINESTRING (-112.058534 33.462134,-112.059258 33.462205,-112.060102 33.462222,-112.060972 33.462237,-112.061353 33.462289,-112.061734 33.462340,)"
1,0,0,1876,1431,66139,3085.64,1822:19,167,0,0,275.8,"LINESTRING (-112.062300 33.462438,-112.062324 33.462442,)"
1,0,0,1431,739,66139,3139.89,1822:19,167,0,0,195.3,"LINESTRING (-112.063108 33.462584,)"
1,0,0,739,889,66139,3244.62,1822:19,167,0,0,377.0,"LINESTRING (-112.063679 33.462687,-112.063880 33.462699,-112.063971 33.462704,-112.064061 33.462707,-112.064161 33.462708,-112.064249 33.462702,-112.064338 33.462688,-112.064425 33.462667,-112.064533 33.462633,-112.064620 33.462594,-112.064690 33.462563,)"
