agent_id,o_node_id,d_node_id,o_zone_id,d_zone_id,matching_link_from_node_id,matching_link_to_node_id,matching_link_id,node_sequence,geometry,time_sequence
89561,0,0,0,0,1432,1622,3288,,"LINESTRING (-2.2399988 53.4878376, -2.2398934 53.4878842, -2.2397284 53.4879569)",
89562,0,0,0,0,1622,2088,4746,,"LINESTRING (-2.2397284 53.4879569, -2.2396117 53.4880378, -2.2395885 53.4880614, -2.2393684 53.4882771)",
89563,0,0,0,0,2088,2239,4611,,"LINESTRING (-2.2393684 53.4882771, -2.2391567 53.4885062, -2.2389573 53.4886142, -2.2388379 53.4886531)",
89564,0,0,0,0,2088,2085,3834,,"LINESTRING (-2.2393684 53.4882771, -2.2389118 53.4881447)",
89565,0,0,0,0,2088,2239,4611,,"LINESTRING (-2.2393684 53.4882771, -2.2391567 53.4885062, -2.2389573 53.4886142, -2.2388379 53.4886531)",
89566,0,0,0,0,2088,2239,4611,,"LINESTRING (-2.2393684 53.4882771, -2.2391567 53.4885062, -2.2389573 53.4886142, -2.2388379 53.4886531)",
89567,0,0,0,0,2239,1784,4940,,"LINESTRING (-2.2388379 53.4886531, -2.2387314 53.4886696, -2.2386047 53.4886717, -2.2383435 53.4886664, -2.2379308 53.4886399, -2.2377405 53.4885988)",
89568,0,0,0,0,2239,1784,4940,,"LINESTRING (-2.2388379 53.4886531, -2.2387314 53.4886696, -2.2386047 53.4886717, -2.2383435 53.4886664, -2.2379308 53.4886399, -2.2377405 53.4885988)",
89569,0,0,0,0,1627,2568,2916,,"LINESTRING (-2.2377945 53.4892436, -2.2382752 53.4887386)",
89570,0,0,0,0,2088,2085,3834,,"LINESTRING (-2.2393684 53.4882771, -2.2389118 53.4881447)",
89571,0,0,0,0,2088,2239,4611,,"LINESTRING (-2.2393684 53.4882771, -2.2391567 53.4885062, -2.2389573 53.4886142, -2.2388379 53.4886531)",
89572,0,0,0,0,2088,2239,4611,,"LINESTRING (-2.2393684 53.4882771, -2.2391567 53.4885062, -2.2389573 53.4886142, -2.2388379 53.4886531)",
89573,0,0,0,0,2239,1784,4940,,"LINESTRING (-2.2388379 53.4886531, -2.2387314 53.4886696, -2.2386047 53.4886717, -2.2383435 53.4886664, -2.2379308 53.4886399, -2.2377405 53.4885988)",
89574,0,0,0,0,2239,1784,4940,,"LINESTRING (-2.2388379 53.4886531, -2.2387314 53.4886696, -2.2386047 53.4886717, -2.2383435 53.4886664, -2.2379308 53.4886399, -2.2377405 53.4885988)",
89575,0,0,0,0,2239,1784,4940,,"LINESTRING (-2.2388379 53.4886531, -2.2387314 53.4886696, -2.2386047 53.4886717, -2.2383435 53.4886664, -2.2379308 53.4886399, -2.2377405 53.4885988)",
89576,0,0,0,0,2088,2085,3834,,"LINESTRING (-2.2393684 53.4882771, -2.2389118 53.4881447)",
89577,0,0,0,0,1622,2088,4746,,"LINESTRING (-2.2397284 53.4879569, -2.2396117 53.4880378, -2.2395885 53.4880614, -2.2393684 53.4882771)",
89578,0,0,0,0,1622,2088,4746,,"LINESTRING (-2.2397284 53.4879569, -2.2396117 53.4880378, -2.2395885 53.4880614, -2.2393684 53.4882771)",
89579,0,0,0,0,1622,2489,4741,,"LINESTRING (-2.2397284 53.4879569, -2.2398283 53.487874, -2.2399257 53.4877803)",
89580,0,0,0,0,2065,1629,4742,,"LINESTRING (-2.2374025 53.4893463, -2.2372221 53.4893792)",
89581,0,0,0,0,1798,1794,3759,,"LINESTRING (-2.2373408 53.4891994, -2.2372656 53.4892673, -2.2372318 53.4893055)",
89582,0,0,0,0,2065,1629,4742,,"LINESTRING (-2.2374025 53.4893463, -2.2372221 53.4893792)",
89583,0,0,0,0,1784,1798,4149,,"LINESTRING (-2.2377405 53.4885988, -2.2377301 53.4886214, -2.2373408 53.4891994)",
89584,0,0,0,0,1784,1785,3584,,"LINESTRING (-2.2377405 53.4885988, -2.237438 53.4885299, -2.2371798 53.4884689)",
89585,0,0,0,0,1784,1785,3584,,"LINESTRING (-2.2377405 53.4885988, -2.237438 53.4885299, -2.2371798 53.4884689)",
89586,0,0,0,0,1785,2660,3255,,"LINESTRING (-2.2371798 53.4884689, -2.2369858 53.4884089, -2.2367788 53.4883094)",
89587,0,0,0,0,2660,2318,3256,,"LINESTRING (-2.2367788 53.4883094, -2.2364713 53.4880527, -2.2364425 53.4880287, -2.2363877 53.4879829)",
89588,0,0,0,0,2660,2318,3256,,"LINESTRING (-2.2367788 53.4883094, -2.2364713 53.4880527, -2.2364425 53.4880287, -2.2363877 53.4879829)",
89589,0,0,0,0,1784,1785,3584,,"LINESTRING (-2.2377405 53.4885988, -2.237438 53.4885299, -2.2371798 53.4884689)",
89590,0,0,0,0,1784,1785,3584,,"LINESTRING (-2.2377405 53.4885988, -2.237438 53.4885299, -2.2371798 53.4884689)",
89591,0,0,0,0,1785,2660,3255,,"LINESTRING (-2.2371798 53.4884689, -2.2369858 53.4884089, -2.2367788 53.4883094)",
89592,0,0,0,0,2660,2318,3256,,"LINESTRING (-2.2367788 53.4883094, -2.2364713 53.4880527, -2.2364425 53.4880287, -2.2363877 53.4879829)",
89593,0,0,0,0,2660,2318,3256,,"LINESTRING (-2.2367788 53.4883094, -2.2364713 53.4880527, -2.2364425 53.4880287, -2.2363877 53.4879829)",
89594,0,0,0,0,2660,2318,3256,,"LINESTRING (-2.2367788 53.4883094, -2.2364713 53.4880527, -2.2364425 53.4880287, -2.2363877 53.4879829)",
89595,0,0,0,0,2318,2661,3257,,"LINESTRING (-2.2363877 53.4879829, -2.2363616 53.4879612, -2.236027 53.4876819, -2.2357932 53.4874867)",
89596,0,0,0,0,2661,1783,3258,,"LINESTRING (-2.2357932 53.4874867, -2.2354797 53.487225)",
89597,0,0,0,0,2660,2318,3256,,"LINESTRING (-2.2367788 53.4883094, -2.2364713 53.4880527, -2.2364425 53.4880287, -2.2363877 53.4879829)",
89598,0,0,0,0,2318,2661,3257,,"LINESTRING (-2.2363877 53.4879829, -2.2363616 53.4879612, -2.236027 53.4876819, -2.2357932 53.4874867)",
89599,0,0,0,0,2661,1783,3258,,"LINESTRING (-2.2357932 53.4874867, -2.2354797 53.487225)",
89600,0,0,0,0,1412,1125,3260,,"LINESTRING (-2.2350863 53.4869421, -2.2350087 53.4869197, -2.2348774 53.4868859)",
89601,0,0,0,0,1412,1125,3260,,"LINESTRING (-2.2350863 53.4869421, -2.2350087 53.4869197, -2.2348774 53.4868859)",
89602,0,0,0,0,2680,1414,2520,,"LINESTRING (-2.2335943 53.4875891, -2.2330238 53.487823)",
89603,0,0,0,0,1129,2673,3244,,"LINESTRING (-2.2326976 53.4878572, -2.2327812 53.4879246)",
89604,0,0,0,0,2673,2672,2522,,"LINESTRING (-2.2327812 53.4879246, -2.2323443 53.4880963)",
89605,0,0,0,0,2672,1415,2523,,"LINESTRING (-2.2323443 53.4880963, -2.2317261 53.4883089, -2.2313187 53.4885337, -2.2312053 53.4885963)",
89606,0,0,0,0,2672,1415,2523,,"LINESTRING (-2.2323443 53.4880963, -2.2317261 53.4883089, -2.2313187 53.4885337, -2.2312053 53.4885963)",
89607,0,0,0,0,462,1415,3574,,"LINESTRING (-2.2314645 53.4889392, -2.2314645 53.488873, -2.2313529 53.4887467, -2.2312053 53.4885963)",
89608,0,0,0,0,1415,1416,2524,,"LINESTRING (-2.2312053 53.4885963, -2.2310491 53.4886739, -2.230537 53.4890451)",
89609,0,0,0,0,1417,2066,590,,"LINESTRING (-2.230154 53.4893286, -2.2304113 53.4896837)",
89610,0,0,0,0,1418,883,2527,,"LINESTRING (-2.2295634 53.4897445, -2.229117 53.4900742, -2.228274 53.4906638, -2.2281566 53.4906984)",
89611,0,0,0,0,1128,2677,1997,,"LINESTRING (-2.2329042 53.4877676, -2.2334801 53.4875318)",
89612,0,0,0,0,1128,2677,1997,,"LINESTRING (-2.2329042 53.4877676, -2.2334801 53.4875318)",
89613,0,0,0,0,1133,1125,2000,,"LINESTRING (-2.234465 53.4871118, -2.2348774 53.4868859)",
89614,0,0,0,0,1129,1128,1996,,"LINESTRING (-2.2326976 53.4878572, -2.2329042 53.4877676)",
89615,0,0,0,0,692,1128,3276,,"LINESTRING (-2.2326757 53.4876449, -2.2329042 53.4877676)",
89616,0,0,0,0,320,244,2534,,"LINESTRING (-2.2303186 53.4859448, -2.2300558 53.4860299, -2.2300224 53.4860406, -2.2298342 53.4861007)",
89617,0,0,0,0,320,244,2534,,"LINESTRING (-2.2303186 53.4859448, -2.2300558 53.4860299, -2.2300224 53.4860406, -2.2298342 53.4861007)",
89618,0,0,0,0,320,244,2534,,"LINESTRING (-2.2303186 53.4859448, -2.2300558 53.4860299, -2.2300224 53.4860406, -2.2298342 53.4861007)",
89619,0,0,0,0,692,1128,3276,,"LINESTRING (-2.2326757 53.4876449, -2.2329042 53.4877676)",
89620,0,0,0,0,315,319,2531,,"LINESTRING (-2.2319014 53.4853861, -2.2316392 53.4854859, -2.2313704 53.4855747)",
89621,0,0,0,0,315,319,2531,,"LINESTRING (-2.2319014 53.4853861, -2.2316392 53.4854859, -2.2313704 53.4855747)",
89622,0,0,0,0,320,244,2534,,"LINESTRING (-2.2303186 53.4859448, -2.2300558 53.4860299, -2.2300224 53.4860406, -2.2298342 53.4861007)",
89623,0,0,0,0,320,244,2534,,"LINESTRING (-2.2303186 53.4859448, -2.2300558 53.4860299, -2.2300224 53.4860406, -2.2298342 53.4861007)",
89624,0,0,0,0,320,244,2534,,"LINESTRING (-2.2303186 53.4859448, -2.2300558 53.4860299, -2.2300224 53.4860406, -2.2298342 53.4861007)",
89625,0,0,0,0,315,319,2531,,"LINESTRING (-2.2319014 53.4853861, -2.2316392 53.4854859, -2.2313704 53.4855747)",
89626,0,0,0,0,2459,1778,4669,,"LINESTRING (-2.2350165 53.4901395, -2.2348062 53.4900415)",
89627,0,0,0,0,1778,1793,575,,"LINESTRING (-2.2348062 53.4900415, -2.2345114 53.4902277, -2.2337657 53.4904062)",
89628,0,0,0,0,1778,1793,575,,"LINESTRING (-2.2348062 53.4900415, -2.2345114 53.4902277, -2.2337657 53.4904062)",
89629,0,0,0,0,2446,2444,4606,,"LINESTRING (-2.2333029 53.490763, -2.2338404 53.4906084)",
89630,0,0,0,0,2063,2059,3763,,"LINESTRING (-2.2315899 53.4902948, -2.2323517 53.4907042)",
89631,0,0,0,0,2926,2019,5806,,"LINESTRING (-2.2304813 53.4913252, -2.2297902 53.4914685, -2.2284929 53.4917611)",
89632,0,0,0,0,2926,2019,5806,,"LINESTRING (-2.2304813 53.4913252, -2.2297902 53.4914685, -2.2284929 53.4917611)",
89633,0,0,0,0,2926,2019,5806,,"LINESTRING (-2.2304813 53.4913252, -2.2297902 53.4914685, -2.2284929 53.4917611)",
89634,0,0,0,0,883,460,1989,,"LINESTRING (-2.2281566 53.4906984, -2.2280512 53.4907872)",
89635,0,0,0,0,1802,1796,3297,,"LINESTRING (-2.2243207 53.4886575, -2.2238935 53.4883606)",
89636,0,0,0,0,545,1774,758,,"LINESTRING (-2.2249587 53.489059, -2.2252324 53.4888952)",
89637,0,0,0,0,1803,364,3291,,"LINESTRING (-2.2269276 53.4902981, -2.2265943 53.4900884, -2.2257148 53.4895361, -2.2254341 53.4893639)",
89638,0,0,0,0,1792,1803,3289,,"LINESTRING (-2.2278812 53.4908983, -2.2277377 53.4908364, -2.2269463 53.4903384, -2.2269276 53.4902981)",
89639,0,0,0,0,1792,1803,3289,,"LINESTRING (-2.2278812 53.4908983, -2.2277377 53.4908364, -2.2269463 53.4903384, -2.2269276 53.4902981)",
89640,0,0,0,0,445,849,2971,,"LINESTRING (-2.2236774 53.4882704, -2.2244938 53.4879652)",
89641,0,0,0,0,445,849,2971,,"LINESTRING (-2.2236774 53.4882704, -2.2244938 53.4879652)",
89642,0,0,0,0,1843,850,3416,,"LINESTRING (-2.2261041 53.4870028, -2.2263557 53.4872565)",
89643,0,0,0,0,850,465,2973,,"LINESTRING (-2.2263557 53.4872565, -2.2275976 53.4867919)",
89644,0,0,0,0,463,848,1981,,"LINESTRING (-2.2297316 53.4859119, -2.2298258 53.4860118)",
89645,0,0,0,0,1125,1132,3214,,"LINESTRING (-2.2348774 53.4868859, -2.2347176 53.4868118, -2.2344822 53.4866838)",
89646,0,0,0,0,1141,2678,2016,,"LINESTRING (-2.2343584 53.4866204, -2.2339735 53.4868767)",
89647,0,0,0,0,2715,2714,4168,,"LINESTRING (-2.2332156 53.4860331, -2.2328324 53.4863044)",
89648,0,0,0,0,1426,315,2530,,"LINESTRING (-2.232168 53.4852806, -2.2320839 53.4853141, -2.2319014 53.4853861)",
89649,0,0,0,0,1125,474,2001,,"LINESTRING (-2.2348774 53.4868859, -2.2353216 53.4866166)",
89650,0,0,0,0,1125,474,2001,,"LINESTRING (-2.2348774 53.4868859, -2.2353216 53.4866166)",
89651,0,0,0,0,1411,317,4491,,"LINESTRING (-2.2357855 53.4864933, -2.2356512 53.4865466)",
89652,0,0,0,0,1125,474,2001,,"LINESTRING (-2.2348774 53.4868859, -2.2353216 53.4866166)",
89653,0,0,0,0,1125,474,2001,,"LINESTRING (-2.2348774 53.4868859, -2.2353216 53.4866166)",
89654,0,0,0,0,474,1131,2002,,"LINESTRING (-2.2353216 53.4866166, -2.2357962 53.4863129)",
89655,0,0,0,0,1411,317,4491,,"LINESTRING (-2.2357855 53.4864933, -2.2356512 53.4865466)",
89656,0,0,0,0,1411,317,4491,,"LINESTRING (-2.2357855 53.4864933, -2.2356512 53.4865466)",
89657,0,0,0,0,1125,474,2001,,"LINESTRING (-2.2348774 53.4868859, -2.2353216 53.4866166)",
89658,0,0,0,0,1411,317,4491,,"LINESTRING (-2.2357855 53.4864933, -2.2356512 53.4865466)",
89659,0,0,0,0,1411,317,4491,,"LINESTRING (-2.2357855 53.4864933, -2.2356512 53.4865466)",
89660,0,0,0,0,1125,474,2001,,"LINESTRING (-2.2348774 53.4868859, -2.2353216 53.4866166)",
89661,0,0,0,0,2667,2668,3231,,"LINESTRING (-2.2344782 53.4892458, -2.2341261 53.4889395)",
89662,0,0,0,0,2668,1782,3233,,"LINESTRING (-2.2341261 53.4889395, -2.234018 53.4888621)",
89663,0,0,0,0,1791,2666,3239,,"LINESTRING (-2.2334158 53.4884368, -2.2331343 53.4882096)",
89664,0,0,0,0,1791,2666,3239,,"LINESTRING (-2.2334158 53.4884368, -2.2331343 53.4882096)",
89665,0,0,0,0,2666,2673,3241,,"LINESTRING (-2.2331343 53.4882096, -2.2328344 53.4879676, -2.2327812 53.4879246)",
89666,0,0,0,0,2093,1177,595,,"LINESTRING (-2.2386049 53.4880624, -2.238936 53.4876855, -2.2389805 53.4876086, -2.2389951 53.4875859, -2.2391135 53.4874319, -2.2391429 53.4873781)",
89667,0,0,0,0,1177,2093,596,,"LINESTRING (-2.2391429 53.4873781, -2.2391135 53.4874319, -2.2389951 53.4875859, -2.2389805 53.4876086, -2.238936 53.4876855, -2.2386049 53.4880624)",
89668,0,0,0,0,1177,1428,3304,,"LINESTRING (-2.2391429 53.4873781, -2.2392796 53.4874247, -2.2395668 53.4875276, -2.2396694 53.4875771)",
89669,0,0,0,0,1428,2717,4003,,"LINESTRING (-2.2396694 53.4875771, -2.2398202 53.4876522)",
89670,0,0,0,0,1177,2093,596,,"LINESTRING (-2.2391429 53.4873781, -2.2391135 53.4874319, -2.2389951 53.4875859, -2.2389805 53.4876086, -2.238936 53.4876855, -2.2386049 53.4880624)",
89671,0,0,0,0,2093,1177,595,,"LINESTRING (-2.2386049 53.4880624, -2.238936 53.4876855, -2.2389805 53.4876086, -2.2389951 53.4875859, -2.2391135 53.4874319, -2.2391429 53.4873781)",
89672,0,0,0,0,1177,1428,3304,,"LINESTRING (-2.2391429 53.4873781, -2.2392796 53.4874247, -2.2395668 53.4875276, -2.2396694 53.4875771)",
89673,0,0,0,0,1428,2717,4003,,"LINESTRING (-2.2396694 53.4875771, -2.2398202 53.4876522)",
89674,0,0,0,0,1410,1130,4004,,"LINESTRING (-2.2359501 53.4863355, -2.2362478 53.4864743, -2.2365836 53.4865994)",
89675,0,0,0,0,1410,1130,4004,,"LINESTRING (-2.2359501 53.4863355, -2.2362478 53.4864743, -2.2365836 53.4865994)",
89676,0,0,0,0,2953,1177,3303,,"LINESTRING (-2.236918 53.486703, -2.2373422 53.4868345, -2.2383343 53.4871462, -2.2385047 53.4871949, -2.2391429 53.4873781)",
89677,0,0,0,0,228,1410,2555,,"LINESTRING (-2.2358571 53.4862853, -2.2359501 53.4863355)",
89678,0,0,0,0,228,1650,2948,,"LINESTRING (-2.2358571 53.4862853, -2.2362512 53.4860519)",
89679,0,0,0,0,468,1648,5885,,"LINESTRING (-2.2370198 53.4856846, -2.2365685 53.485946)",
89680,0,0,0,0,1637,468,5884,,"LINESTRING (-2.2372033 53.4855937, -2.2370198 53.4856846)",
89681,0,0,0,0,1637,468,5884,,"LINESTRING (-2.2372033 53.4855937, -2.2370198 53.4856846)",
89682,0,0,0,0,1650,1649,3967,,"LINESTRING (-2.2362512 53.4860519, -2.2364501 53.4860033)",
89683,0,0,0,0,228,1650,2948,,"LINESTRING (-2.2358571 53.4862853, -2.2362512 53.4860519)",
89684,0,0,0,0,1640,2719,2930,,"LINESTRING (-2.2408169 53.4868082, -2.2399275 53.4864928)",
89685,0,0,0,0,2460,1639,4747,,"LINESTRING (-2.2389973 53.4865754, -2.2392227 53.4862592)",
89686,0,0,0,0,2534,1646,4816,,"LINESTRING (-2.2381192 53.4858945, -2.2377872 53.4857848)",
89687,0,0,0,0,1646,1637,4818,,"LINESTRING (-2.2377872 53.4857848, -2.2372033 53.4855937)",
89688,0,0,0,0,1071,233,2954,,"LINESTRING (-2.2386558 53.4848406, -2.2385552 53.4848983, -2.2383998 53.4849891, -2.2383709 53.485006, -2.2382544 53.4850657)",
89689,0,0,0,0,1336,1335,4000,,"LINESTRING (-2.2382141 53.4850864, -2.2381463 53.4851211, -2.2377426 53.485328)",
89690,0,0,0,0,1335,1637,4002,,"LINESTRING (-2.2377426 53.485328, -2.2372033 53.4855937)",
89691,0,0,0,0,88,2486,2928,,"LINESTRING (-2.2447595 53.4868603, -2.2447669 53.4870393, -2.2447706 53.4870537, -2.2447747 53.487065)",
89692,0,0,0,0,2486,1633,2929,,"LINESTRING (-2.2447747 53.487065, -2.2448909 53.4872165, -2.2451208 53.4874935)",
89693,0,0,0,0,1635,39,4722,,"LINESTRING (-2.2456119 53.4881852, -2.2456773 53.4882647, -2.2456978 53.4882895, -2.2457254 53.488323, -2.2457632 53.488369, -2.2458381 53.4884315)",
89694,0,0,0,0,2517,1427,3971,,"LINESTRING (-2.2405245 53.4872639, -2.2404059 53.4874672)",
89695,0,0,0,0,1427,2517,3970,,"LINESTRING (-2.2404059 53.4874672, -2.2405245 53.4872639)",
89696,0,0,0,0,1427,2238,4202,,"LINESTRING (-2.2404059 53.4874672, -2.2403336 53.4876921, -2.2402955 53.4878726, -2.2403029 53.4879758)",
89697,0,0,0,0,1425,1424,4633,,"LINESTRING (-2.2321473 53.4851291, -2.2323424 53.4850982, -2.2324885 53.4850218, -2.2325935 53.4849533, -2.2327208 53.4848781)",
89698,0,0,0,0,1425,1424,4633,,"LINESTRING (-2.2321473 53.4851291, -2.2323424 53.4850982, -2.2324885 53.4850218, -2.2325935 53.4849533, -2.2327208 53.4848781)",
89699,0,0,0,0,1426,315,2530,,"LINESTRING (-2.232168 53.4852806, -2.2320839 53.4853141, -2.2319014 53.4853861)",
