name,poi_id,osm_way_id,osm_relation_id,building,amenity,geometry,centroid
,10,25884868,,parking,,"POLYGON ((-2.2341773 53.4803342, -2.2338424 53.4800346, -2.233998 53.4799655, -2.2342452 53.479853, -2.2343826 53.4797886, -2.234409 53.4798102, -2.234486 53.4798736, -2.2346275 53.4799901, -2.2347134 53.4800629, -2.2347376 53.480083, -2.2341773 53.4803342))",POINT (-2.23428705963419 53.48006098990015)
Oxford Court,11,27605678,,parking,,"POLYGON ((-2.2439224 53.4763416, -2.2436781 53.4764374, -2.2437193 53.4764777, -2.243439 53.4765765, -2.2431603 53.4762861, -2.2436298 53.4761301, -2.2436057 53.4761042, -2.2438812 53.4760056, -2.244332 53.4764137, -2.244378 53.4764545, -2.24441 53.4764828, -2.2441844 53.4765689, -2.2439224 53.4763416))",POINT (-2.243763702442629 53.47631325816246)
,12,27928459,,parking,,"POLYGON ((-2.2257032 53.4781337, -2.226873 53.4776436, -2.2266386 53.477349, -2.2259549 53.4775623, -2.2260477 53.4776703, -2.2258633 53.4777292, -2.2257649 53.4776206, -2.2253689 53.4777385, -2.2255813 53.4779744, -2.2257267 53.4779293, -2.2257959 53.4780073, -2.2256403 53.4780574, -2.2257032 53.4781337))",POINT (-2.226141748836316 53.47772321920897)
,13,27929450,,yes,,"POLYGON ((-2.2209523 53.4738261, -2.2206691 53.4736166, -2.2210639 53.4734429, -2.22133 53.473637, -2.2209523 53.4738261))",POINT (-2.221001684556593 53.4736318232788)
,14,27929459,,yes,,"POLYGON ((-2.2212442 53.4731006, -2.2206691 53.4730342, -2.2207721 53.4727481, -2.2205833 53.4727226, -2.2206433 53.472554, -2.2214072 53.4726511, -2.2213386 53.4727941, -2.2210639 53.4727686, -2.2210038 53.4728963, -2.2212956 53.4729269, -2.2212442 53.4731006))",POINT (-2.220971030212247 53.47281538966117)
,15,27929546,,yes,,"POLYGON ((-2.2174356 53.4748478, -2.2174004 53.4745372, -2.2168932 53.4745576, -2.2169285 53.4748682, -2.2174356 53.4748478))",POINT (-2.217164423878573 53.47470269494142)
,16,27929574,,yes,,"POLYGON ((-2.2173031 53.4742095, -2.2171563 53.4735571, -2.216875 53.4735795, -2.2170217 53.4742319, -2.2173031 53.4742095))",POINT (-2.217089029551219 53.47389451896115)
,17,27929734,,yes,,"POLYGON ((-2.2242539 53.4771224, -2.2242651 53.4771187, -2.2242776 53.4771306, -2.2243017 53.4771537, -2.2243966 53.4771202, -2.2243754 53.4770978, -2.2243651 53.477087, -2.224763 53.47694, -2.2247836 53.4769602, -2.2248035 53.4769798, -2.2248962 53.476946, -2.2248456 53.4768898, -2.2248773 53.4768782, -2.2249068 53.4769061, -2.2250288 53.4768618, -2.2249976 53.4768296, -2.2250121 53.4768237, -2.225013 53.4767704, -2.2249279 53.4767464, -2.2247811 53.4767978, -2.2243106 53.4763635, -2.2242729 53.4763275, -2.2241641 53.4763646, -2.2241747 53.4763767, -2.2241989 53.4764045, -2.2240624 53.4764543, -2.2240516 53.4764584, -2.2238284 53.4765435, -2.2237979 53.4765141, -2.2237746 53.4764917, -2.2236486 53.4765367, -2.2237216 53.4765844, -2.223703 53.4765909, -2.2242539 53.4771224))",POINT (-2.224315390825611 53.47674558796655)
,18,27929737,,yes,,"POLYGON ((-2.2209456 53.4767387, -2.2206615 53.4765997, -2.2212688 53.4761642, -2.2215323 53.476307, -2.2209456 53.4767387))",POINT (-2.221099972086149 53.47645335879695)
,19,27929738,,yes,,"POLYGON ((-2.2202888 53.4762697, -2.2200938 53.4760765, -2.2203682 53.4759784, -2.2203928 53.4760028, -2.2205523 53.4759458, -2.2207226 53.4761146, -2.2202888 53.4762697))",POINT (-2.220405679959259 53.4761020429432)
,20,27929776,,yes,,"POLYGON ((-2.2221989 53.4765863, -2.2223907 53.4764286, -2.2219252 53.4762137, -2.2217305 53.4763713, -2.2219053 53.4764488, -2.2220991 53.4765395, -2.2221989 53.4765863))",POINT (-2.222061712751699 53.47639954467139)
,21,27929810,,commercial,,"POLYGON ((-2.2228206 53.4780479, -2.2227226 53.4779909, -2.222571 53.477903, -2.2223666 53.4777843, -2.2221605 53.4776646, -2.2220084 53.4775764, -2.2218502 53.4774845, -2.2217824 53.4774452, -2.2217217 53.4774844, -2.2216034 53.4774169, -2.2215493 53.4773861, -2.2219232 53.4771458, -2.2220966 53.4772491, -2.2220361 53.4772878, -2.2223527 53.4774623, -2.2223617 53.4774672, -2.222545 53.4773578, -2.2229424 53.4775873, -2.2228211 53.4776639, -2.2231446 53.4778535, -2.2228206 53.4780479))",POINT (-2.222400400658834 53.47759474150087)
,22,27929821,,industrial,,"POLYGON ((-2.2226263 53.4771175, -2.2226567 53.4771478, -2.2224976 53.4772043, -2.2223428 53.4770497, -2.2225829 53.4769645, -2.2226213 53.4770028, -2.2228784 53.4769147, -2.2232268 53.4767802, -2.2233166 53.4768679, -2.2226263 53.4771175))",POINT (-2.222794282592541 53.47699408564134)
,23,27929833,,yes,,"POLYGON ((-2.2249225 53.4742184, -2.2255029 53.4745007, -2.2250107 53.4748241, -2.2243928 53.4745381, -2.2249225 53.4742184))",POINT (-2.224954219870856 53.47452083986141)
Presbar Diecastings,24,27929904,,yes,,"POLYGON ((-2.2277937 53.4802412, -2.2276441 53.4800995, -2.2276948 53.4800844, -2.2274743 53.4798838, -2.2274388 53.4799079, -2.227378 53.4798566, -2.2262501 53.4802759, -2.2261335 53.4801613, -2.2260955 53.4801553, -2.2251498 53.4805628, -2.2253939 53.4807579, -2.2255629 53.4808537, -2.225686 53.4809133, -2.2257512 53.4808961, -2.2257827 53.4809209, -2.2258027 53.4809187, -2.2258642 53.4810391, -2.2267386 53.4807183, -2.2266635 53.4806592, -2.2271088 53.480498, -2.2271436 53.4805219, -2.227377 53.4804342, -2.2273528 53.4804054, -2.2277937 53.4802412))",POINT (-2.226459944794772 53.48044302847806)
Great Northern Tower,25,27930204,,apartments,,"POLYGON ((-2.2480457 53.4777472, -2.247829 53.4776523, -2.2478467 53.4776155, -2.2476831 53.4775444, -2.2477524 53.4774833, -2.2478616 53.4775072, -2.2480986 53.4770877, -2.2481415 53.4770939, -2.2482227 53.4769493, -2.2482054 53.4769462, -2.2482249 53.4769118, -2.2482416 53.4769151, -2.2483251 53.4767648, -2.2485713 53.4768122, -2.2485195 53.4769034, -2.2482034 53.4774733, -2.2481685 53.477467, -2.2481432 53.4775116, -2.2481809 53.4775193, -2.2480693 53.4777053, -2.2480457 53.4777472))",POINT (-2.248158590702233 53.47726399640981)
Great Northern,26,27930260,,*,,"POLYGON ((-2.2495081 53.4781014, -2.2494293 53.4781116, -2.249378 53.4781182, -2.2493948 53.4780858, -2.2494185 53.4780402, -2.249429 53.47802, -2.2494157 53.4780104, -2.2494293 53.4779864, -2.2494416 53.4779646, -2.2495885 53.4777052, -2.2494753 53.4776837, -2.2494572 53.4777164, -2.2494433 53.4777136, -2.2494622 53.4776801, -2.2494286 53.4776732, -2.249389 53.4776651, -2.2493599 53.4777166, -2.2488922 53.477623, -2.2484052 53.4775255, -2.2486635 53.4770685, -2.2487999 53.4768271, -2.2489991 53.4768637, -2.2490252 53.4768237, -2.2491172 53.4766825, -2.2491554 53.4766239, -2.2491645 53.4766139, -2.2491833 53.4765933, -2.2490659 53.4765451, -2.2490666 53.4765146, -2.2489768 53.4765013, -2.2493294 53.4759013, -2.2493734 53.4759099, -2.2494436 53.4757634, -2.2494774 53.4757675, -2.2495514 53.4756424, -2.2496066 53.4756533, -2.2496355 53.4756028, -2.2503001 53.475731, -2.2507169 53.4758172, -2.2507527 53.4758268, -2.2507829 53.475847, -2.250801 53.475872, -2.2508063 53.4759075, -2.2507955 53.4759347, -2.2506914 53.4761116, -2.2505339 53.4763795, -2.2503255 53.476734, -2.2501679 53.4770021, -2.2499593 53.4773568, -2.2498181 53.477597, -2.2495721 53.4780152, -2.2495561 53.4780418, -2.2495457 53.4780592, -2.2495292 53.4780882, -2.2495081 53.4781014))",POINT (-2.249635103272688 53.47670593577713)
Air & Space Hall,27,27930299,,yes,,"POLYGON ((-2.2528463 53.4766016, -2.2530668 53.4762735, -2.2542622 53.4765459, -2.2542003 53.4766664, -2.2541705 53.4767323, -2.2540805 53.4769043, -2.2528463 53.4766016))",POINT (-2.25356904016476 53.476583907693)
Power Hall,28,27930338,,yes,,"POLYGON ((-2.2560733 53.4770545, -2.2561316 53.476946, -2.256158 53.4768969, -2.2564844 53.4769548, -2.2565025 53.4769092, -2.2546748 53.4765968, -2.2545741 53.476625, -2.254448 53.4768914, -2.2545279 53.476904, -2.2545638 53.4769096, -2.2546205 53.4768038, -2.2547467 53.4768256, -2.2560733 53.4770545))",POINT (-2.255353646312094 53.47682445213585)
Great Western Warehouse,29,27930370,,yes,,"POLYGON ((-2.2558429 53.4773371, -2.2558156 53.4773942, -2.2557489 53.4773829, -2.2556913 53.4775033, -2.2557737 53.4775173, -2.2557609 53.4775441, -2.2556933 53.4775301, -2.2556754 53.4775702, -2.2541468 53.4773267, -2.2540668 53.4773133, -2.2541588 53.4771188, -2.2543269 53.477147, -2.254359 53.477079, -2.2543799 53.4770354, -2.2544952 53.4770549, -2.2546612 53.4770833, -2.2546848 53.4770345, -2.254784 53.4770514, -2.2547603 53.4771004, -2.2551093 53.4771601, -2.2551368 53.4771033, -2.2552367 53.4771204, -2.2552091 53.4771774, -2.2558024 53.477279, -2.2558103 53.4772626, -2.2558354 53.4772564, -2.2558583 53.4772614, -2.2558605 53.4772626, -2.2558709 53.4772775, -2.2558429 53.4773371))",POINT (-2.254973345849185 53.47729661939509)
1830 Warehouse,30,27930374,,yes,,"POLYGON ((-2.2585663 53.477527, -2.2584126 53.4776707, -2.257647 53.4775162, -2.2569869 53.4774023, -2.2571898 53.4772358, -2.2577874 53.4773453, -2.2585663 53.477527))",POINT (-2.257774478462364 53.47744942221835)
,31,27934275,,yes,,"POLYGON ((-2.2403753 53.4920289, -2.2399346 53.4919423, -2.2401066 53.4916326, -2.2405473 53.4917192, -2.2403753 53.4920289))",POINT (-2.24024095 53.49183075)
,32,27934287,,yes,,"POLYGON ((-2.2392494 53.4919961, -2.2391144 53.4922371, -2.2387259 53.49216, -2.2388608 53.4919191, -2.2392494 53.4919961))",POINT (-2.238987640639253 53.49207807582788)
,33,27934299,,yes,,"POLYGON ((-2.238574 53.4921087, -2.2387671 53.4918005, -2.2386906 53.4917835, -2.2387992 53.4916101, -2.2384913 53.4915418, -2.2383815 53.491717, -2.2382556 53.4916891, -2.2380636 53.4919955, -2.238574 53.4921087))",POINT (-2.238460004838519 53.49183850053243)
,34,27934311,,yes,,"POLYGON ((-2.2388899 53.4915864, -2.239061 53.491326, -2.2383953 53.4911744, -2.2383209 53.4913806, -2.2386825 53.4914104, -2.2386084 53.4915192, -2.2388899 53.4915864))",POINT (-2.238698181215236 53.49136853007349)
,35,27934336,,yes,,"POLYGON ((-2.2398377 53.4926203, -2.2399041 53.4925046, -2.2396213 53.4924471, -2.2395549 53.4925627, -2.2398377 53.4926203))",POINT (-2.239729517239893 53.49253368046495)
,36,27934342,,yes,,"POLYGON ((-2.2385987 53.4930703, -2.2382211 53.4929988, -2.2383069 53.4928354, -2.2387103 53.492912, -2.2385987 53.4930703))",POINT (-2.238459758203502 53.49295322834818)
,37,27934343,,yes,,"POLYGON ((-2.2389226 53.49248, -2.2386308 53.4924187, -2.2384099 53.4927945, -2.2387017 53.4928507, -2.2389226 53.49248))",POINT (-2.238666123257439 53.49263562774631)
,38,27934456,,yes,,"POLYGON ((-2.2364701 53.4930294, -2.2367619 53.4927997, -2.2374486 53.4929477, -2.2372855 53.4931877, -2.2364701 53.4930294))",POINT (-2.236985054163061 53.49299341910224)
Royal Mail,39,27934831,,post_depot,,"POLYGON ((-2.2290712 53.488353, -2.2276789 53.4888635, -2.2262828 53.4875158, -2.2276751 53.4870052, -2.2290712 53.488353))",POINT (-2.227676999965897 53.48793436665642)
,40,27934837,,yes,,"POLYGON ((-2.2259098 53.4883864, -2.2261072 53.4882537, -2.2257381 53.4880494, -2.2255149 53.4881873, -2.2259098 53.4883864))",POINT (-2.22581462120671 53.48821820291202)
,41,27934858,,yes,,"POLYGON ((-2.2248763 53.4884988, -2.2253219 53.488269, -2.2251609 53.4881864, -2.2247385 53.4884042, -2.2248763 53.4884988))",POINT (-2.225025058505245 53.48833999935451)
Fire and Rescue Service Training Center,42,27934868,,yes,,"POLYGON ((-2.2292315 53.4879585, -2.2293338 53.4879121, -2.2294604 53.4880338, -2.2291829 53.4881439, -2.2290465 53.4880222, -2.2291098 53.4879903, -2.2290709 53.4879585, -2.2291342 53.4877123, -2.2289863 53.4875485, -2.2290202 53.4874154, -2.2296648 53.487188, -2.2297671 53.4872865, -2.2295772 53.487356, -2.229621 53.487411, -2.2297525 53.4873618, -2.2298401 53.4874371, -2.2298011 53.4874487, -2.2298596 53.4875211, -2.2298547 53.4875616, -2.2297914 53.4875819, -2.2297232 53.4875732, -2.2297184 53.4876109, -2.2292997 53.4877615, -2.2292121 53.4879295, -2.2292315 53.4879585))",POINT (-2.229370973228553 53.48759644452721)
,43,27934938,,yes,,"POLYGON ((-2.2315388 53.4882072, -2.2317888 53.4881153, -2.231549 53.4878846, -2.2312991 53.4879765, -2.2315388 53.4882072))",POINT (-2.231543933185296 53.48804590468201)
Manchester Central Fire Station,44,27934959,,fire_station,,"POLYGON ((-2.2304503 53.486861, -2.2306203 53.4868121, -2.2311725 53.4873261, -2.2308751 53.4874238, -2.2306769 53.4872486, -2.2307902 53.4872081, -2.2307505 53.4871677, -2.2304758 53.4872671, -2.2300811 53.4872119, -2.2297707 53.4869166, -2.230085 53.4868105, -2.2301983 53.4869149, -2.2300554 53.4869616, -2.2302125 53.4871104, -2.2302804 53.4871171, -2.2305919 53.4870076, -2.2304503 53.486861))",POINT (-2.230506564153124 53.48710679514799)
,45,27934979,,yes,,"POLYGON ((-2.2296115 53.4866543, -2.2294532 53.486495, -2.2297798 53.4863801, -2.2296899 53.4862896, -2.2285091 53.4867053, -2.2287574 53.486955, -2.2296115 53.4866543))",POINT (-2.229122514227604 53.48664482170331)
,46,27934993,,yes,,"POLYGON ((-2.2278495 53.4896172, -2.2272117 53.4892187, -2.2273174 53.4891474, -2.2279697 53.4895457, -2.2278495 53.4896172))",POINT (-2.227590666136954 53.48938433715055)
,47,27935022,,yes,,"POLYGON ((-2.2270339 53.4900069, -2.2275234 53.4897295, -2.2274204 53.4896733, -2.2269389 53.4899408, -2.2270339 53.4900069))",POINT (-2.227227488249315 53.48983880972841)
,48,27935026,,yes,,"POLYGON ((-2.2268539 53.4898776, -2.2269226 53.4898265, -2.2266479 53.489658, -2.2265621 53.489704, -2.2268539 53.4898776))",POINT (-2.226745036898395 53.48976592613052)
,49,27935032,,yes,,"POLYGON ((-2.2271629 53.4896733, -2.2268685 53.4894926, -2.2269397 53.4894487, -2.2272401 53.4896274, -2.2271629 53.4896733))",POINT (-2.227054381695206 53.48956142181336)
,50,27935038,,yes,,"POLYGON ((-2.2265501 53.4896062, -2.2260714 53.4893237, -2.2259719 53.4893834, -2.2264506 53.4896659, -2.2265501 53.4896062))",POINT (-2.226261 53.4894948)
Gateway house,51,27942017,,retail,,"POLYGON ((-2.2324477 53.4789059, -2.2323892 53.4788382, -2.2322405 53.4787219, -2.2320774 53.4786191, -2.2319681 53.4785523, -2.2318884 53.4784719, -2.2318008 53.4783217, -2.2317816 53.4782029, -2.231761 53.4781038, -2.2317158 53.478037, -2.2316525 53.4779808, -2.231526 53.4779176, -2.2313109 53.4778713, -2.2312292 53.4779685, -2.2313449 53.4780013, -2.2314286 53.4780292, -2.2314874 53.4780607, -2.231549 53.4781199, -2.2315743 53.4782476, -2.2316079 53.478377, -2.2317032 53.4785468, -2.231942 53.4787272, -2.232128 53.4788413, -2.2321983 53.4789077, -2.2322549 53.4789662, -2.2324477 53.4789059))",POINT (-2.231822788364497 53.47841762219159)
,52,28039097,,yes,,"POLYGON ((-2.244142 53.4783397, -2.2441024 53.4783164, -2.2440584 53.4782903, -2.2440181 53.4782684, -2.2440471 53.4782237, -2.2439897 53.4781946, -2.2439125 53.4782159, -2.2438675 53.4781939, -2.243405 53.4785116, -2.2432984 53.478587, -2.2434885 53.4786736, -2.2434981 53.478666, -2.2438543 53.4787031, -2.2438803 53.4787058, -2.2439073 53.4787083, -2.2446532 53.4787846, -2.2446808 53.4787872, -2.2447061 53.4787896, -2.244791 53.4787973, -2.2447874 53.4788088, -2.2450262 53.4788314, -2.2450995 53.4785365, -2.2450385 53.4785314, -2.2450306 53.4784883, -2.2449387 53.478479, -2.2449133 53.4785189, -2.244864 53.4785146, -2.24472 53.4785017, -2.2446358 53.4784911, -2.2445549 53.4784781, -2.2444808 53.4784627, -2.2444114 53.4784448, -2.2443455 53.4784255, -2.2442847 53.4784052, -2.244222 53.4783795, -2.2441819 53.4783617, -2.244142 53.4783397))",POINT (-2.244208040117525 53.47855730668181)
,53,28039124,,yes,,"POLYGON ((-2.2359967 53.4809113, -2.236306 53.4806847, -2.2368274 53.4803372, -2.2364048 53.4801168, -2.2357589 53.4805666, -2.2355795 53.4806942, -2.2359967 53.4809113))",POINT (-2.236200228204344 53.4805124304988)
,54,28058422,,yes,,"POLYGON ((-2.2214208 53.488934, -2.2215051 53.489135, -2.2212767 53.4891688, -2.2211925 53.4889679, -2.2214208 53.488934))",POINT (-2.221348786918182 53.48905142749209)
,55,28078170,,yes,,"POLYGON ((-2.2210701 53.4892939, -2.2211387 53.4894778, -2.2209156 53.4895084, -2.2208555 53.4893246, -2.2210701 53.4892939))",POINT (-2.220995294751931 53.48940172282014)
,56,28078171,,yes,,"POLYGON ((-2.2205922 53.4897009, -2.2206608 53.4898847, -2.2204377 53.4899153, -2.2203776 53.4897316, -2.2205922 53.4897009))",POINT (-2.220517394809761 53.48980867248838)
Apple Building,57,28078172,,yes,,"POLYGON ((-2.2219648 53.4885756, -2.2220431 53.48877, -2.2218158 53.4888024, -2.2217375 53.488608, -2.2219648 53.4885756))",POINT (-2.221890300000001 53.488689)
National Alamo Hire Car,58,28081600,,car_rental,,"POLYGON ((-2.2305091 53.4859908, -2.2305656 53.4860321, -2.2314295 53.4864523, -2.2315028 53.4863984, -2.2316894 53.4862613, -2.2313984 53.4861179, -2.2309189 53.4858836, -2.2308372 53.4858613, -2.2305091 53.4859908))",POINT (-2.231115400640076 53.48614292036338)
St. Georges Youth and Community Centre,59,28081604,,school,,"POLYGON ((-2.2238764 53.4884596, -2.2242197 53.4886657, -2.2238818 53.4888386, -2.2235829 53.4886098, -2.2238764 53.4884596))",POINT (-2.223893963239505 53.4886459718097)
,60,28082112,,yes,,"POLYGON ((-2.2240174 53.4886703, -2.2238759 53.4887541, -2.2236605 53.4886133, -2.2238175 53.4885353, -2.2240174 53.4886703))",POINT (-2.223841687809692 53.48864334542399)
Abotts Community Primary School,61,28091903,,school,,"POLYGON ((-2.2259997 53.4909203, -2.2269463 53.4903384, -2.2277377 53.4908364, -2.2258165 53.4921952, -2.224778 53.4924167, -2.224321 53.4920671, -2.2253439 53.4915647, -2.2250922 53.4913745, -2.2259997 53.4909203))",POINT (-2.226073784922005 53.49141982488587)
,62,28092058,,parking,,"POLYGON ((-2.2283373 53.4904414, -2.2289774 53.4899952, -2.2299188 53.4892744, -2.2299091 53.489199, -2.229573 53.4889684, -2.2294543 53.4889402, -2.2293159 53.4889308, -2.2270343 53.4902812, -2.2278086 53.4907905, -2.2283373 53.4904414))",POINT (-2.228499368975096 53.48984561340462)
,63,28092060,,parking,,"POLYGON ((-2.2330627 53.4860436, -2.2325462 53.4857936, -2.2323051 53.48597, -2.2328216 53.48622, -2.2330627 53.4860436))",POINT (-2.2326839 53.48600679999999)
