name,poi_id,osm_way_id,osm_relation_id,building,amenity,geometry,centroid
,0,4857533,,yes,,"POLYGON ((-2.24588 53.4846653, -2.2460608 53.4843875, -2.2463335 53.4844504, -2.246521 53.4841622, -2.2462077 53.48409, -2.2465131 53.4836207, -2.2463441 53.4835818, -2.2456704 53.484617, -2.24588 53.4846653))",POINT (-2.246144366353303 53.48418471672458)
Corn Exchange,1,4947738,,retail,,"POLYGON ((-2.2436372 53.4845476, -2.2436829 53.484554, -2.2437003 53.4845739, -2.2436265 53.4853127, -2.2435596 53.4853378, -2.2433934 53.485316, -2.2429219 53.4852459, -2.2425734 53.4851974, -2.2423453 53.4851571, -2.2422756 53.4851304, -2.2422659 53.4850756, -2.2423125 53.4850272, -2.2426711 53.4848174, -2.2429568 53.4847223, -2.2432922 53.4846191, -2.2436372 53.4845476))",POINT (-2.243125709697335 53.48497423643077)
The Printworks,2,4960933,,retail,,"POLYGON ((-2.2410029 53.4856545, -2.2406534 53.4855667, -2.2403469 53.4859544, -2.2398734 53.4858188, -2.2398591 53.4857908, -2.2398679 53.4857778, -2.2397326 53.4857373, -2.239663 53.4856659, -2.2398512 53.4853355, -2.2400208 53.4850652, -2.2401508 53.4848582, -2.2401719 53.4848337, -2.2402106 53.4848193, -2.2402564 53.4848131, -2.2407416 53.4847892, -2.2407996 53.48473, -2.2408347 53.4847351, -2.2409287 53.4846128, -2.2416418 53.4849962, -2.2418024 53.4850768, -2.241872 53.4851645, -2.2416321 53.4855147, -2.2411932 53.4854457, -2.2411721 53.4854688, -2.2411447 53.4854989, -2.2410029 53.4856545))",POINT (-2.240705045547174 53.48526951299161)
Arndale Centre,3,4960939,,retail,,"POLYGON ((-2.2423195 53.4847314, -2.2422486 53.4847861, -2.2421641 53.4848182, -2.2420914 53.4848364, -2.2420043 53.4848461, -2.2418906 53.4848431, -2.2417844 53.4848218, -2.2414915 53.4846372, -2.2413493 53.4845573, -2.2411124 53.4844721, -2.2408729 53.4844123, -2.2407029 53.4843925, -2.2405362 53.4843913, -2.2402971 53.4844217, -2.2397046 53.4844971, -2.2395521 53.4844943, -2.2393779 53.4844706, -2.2392717 53.4844534, -2.2392317 53.4845239, -2.2391717 53.4845839, -2.2391288 53.4846191, -2.2390955 53.4846391, -2.2390478 53.4846534, -2.2389926 53.484661, -2.2389402 53.484661, -2.2388526 53.4846425, -2.2387954 53.4846096, -2.2387612 53.4845705, -2.2387383 53.4845191, -2.2387364 53.484442, -2.2387764 53.4843696, -2.2389112 53.4841511, -2.2387725 53.4841163, -2.2390843 53.4836254, -2.2392911 53.4832379, -2.2393431 53.4831404, -2.239283 53.483127, -2.2393737 53.4829252, -2.2393962 53.4828751, -2.239671 53.4822643, -2.2402923 53.4823846, -2.2405476 53.4824341, -2.2409614 53.4825157, -2.2412794 53.482558, -2.2413752 53.4825707, -2.241458 53.4825817, -2.2414376 53.4826129, -2.2426326 53.4828634, -2.2426271 53.4828776, -2.2426711 53.4828874, -2.2427246 53.4828978, -2.2434426 53.4830395, -2.2434822 53.4830463, -2.2435118 53.4830404, -2.2435324 53.4830432, -2.2435539 53.4830566, -2.2435569 53.4830714, -2.2435498 53.4830841, -2.2435308 53.4830936, -2.2432524 53.4834928, -2.2432223 53.4834854, -2.2431983 53.4835201, -2.2431767 53.483551, -2.2431762 53.4835523, -2.2431879 53.4835558, -2.2431714 53.4835783, -2.2431354 53.483632, -2.243147 53.4836388, -2.2429386 53.4839154, -2.2429241 53.4839274, -2.2428815 53.4839347, -2.2428175 53.4839259, -2.2427035 53.4839054, -2.2425976 53.4840052, -2.2425613 53.4840598, -2.2425256 53.4841133, -2.2426116 53.4841312, -2.2426512 53.4841472, -2.2426821 53.4841725, -2.2426965 53.4842011, -2.2426924 53.4842307, -2.2426276 53.4843212, -2.2423195 53.4847314))",POINT (-2.241001067969299 53.48357501049182)
Debenhams,4,4960941,,retail,,"POLYGON ((-2.2392632 53.4821706, -2.2393011 53.4822225, -2.2393295 53.4822614, -2.2391751 53.4826041, -2.2384646 53.4824864, -2.2375257 53.4823297, -2.2375037 53.4823021, -2.2380096 53.4820675, -2.238295 53.4819385, -2.2383526 53.4819346, -2.2384312 53.4819292, -2.2392632 53.4821706))",POINT (-2.238534661833265 53.48226530945701)
Piccadilly Gardens,5,4960946,,bus_station,,"POLYGON ((-2.2368048 53.4798058, -2.2368262 53.4798069, -2.2368378 53.4798264, -2.2368433 53.4798544, -2.2368469 53.4798946, -2.236864 53.4799062, -2.2373236 53.4801214, -2.2376284 53.4802665, -2.2376759 53.4802799, -2.2377966 53.4803165, -2.2378431 53.4803437, -2.2378851 53.4803683, -2.2379112 53.4804237, -2.238199 53.4805719, -2.2382246 53.4806078, -2.2386812 53.4808434, -2.2386857 53.4808551, -2.2386829 53.4808687, -2.2386715 53.4808795, -2.2386464 53.4808882, -2.2386233 53.4808932, -2.2386002 53.4808919, -2.2385812 53.4808816, -2.2384137 53.4807924, -2.2381607 53.4806641, -2.238088 53.48062, -2.2377991 53.480475, -2.2377701 53.4804591, -2.2377196 53.4804321, -2.2376412 53.4803884, -2.2376095 53.480361, -2.2373315 53.4802287, -2.2372669 53.4801708, -2.2367957 53.4799702, -2.2367451 53.4799385, -2.2367347 53.4799293, -2.2367124 53.4799094, -2.2366945 53.4798763, -2.2368048 53.4798058))",POINT (-2.237678654373337 53.48035509448589)
,6,23106832,,parking,,"POLYGON ((-2.2445893 53.4750496, -2.2442681 53.4752868, -2.244134 53.4752142, -2.2444084 53.4749613, -2.2445893 53.4750496))",POINT (-2.244356625847712 53.47512284328751)
Manchester Central Convention Complex,7,23112318,,conference_centre,,"POLYGON ((-2.2480735 53.4763207, -2.2487763 53.4759844, -2.2488958 53.4759263, -2.2488999 53.4758792, -2.2488114 53.4758155, -2.2488059 53.4758116, -2.2486924 53.4757301, -2.2485315 53.4756145, -2.2486539 53.4755513, -2.2484974 53.4754388, -2.2483741 53.4755014, -2.2481792 53.4753613, -2.248173 53.4753569, -2.2467926 53.4760336, -2.2466933 53.4759616, -2.2461554 53.4762123, -2.2461801 53.476227, -2.2460598 53.4762902, -2.2461147 53.4763387, -2.2459855 53.476405, -2.2462545 53.4765999, -2.2462368 53.4766199, -2.2461554 53.4766841, -2.2462456 53.4767589, -2.2463836 53.4766968, -2.246419 53.4767189, -2.2467836 53.4769811, -2.2473966 53.4766704, -2.2475543 53.4767891, -2.2470913 53.4772193, -2.2470601 53.4772483, -2.2468126 53.4771899, -2.2473543 53.4774053, -2.2473963 53.4773414, -2.2475995 53.4773872, -2.2476111 53.4773622, -2.2477606 53.47739, -2.2478797 53.4771579, -2.247924 53.4771677, -2.2479871 53.4770468, -2.2481132 53.477069, -2.2482618 53.4768046, -2.2483121 53.4767151, -2.2483395 53.4766683, -2.2484587 53.476691, -2.2484857 53.4766494, -2.2484396 53.4766389, -2.2484563 53.4766035, -2.2484775 53.476565, -2.2484891 53.4765424, -2.2485159 53.4765544, -2.2485451 53.4765097, -2.2481178 53.4763512, -2.2480735 53.4763207))",POINT (-2.247523219540005 53.47635139996082)
"School of Computing, Science and Engineering",8,23881886,,yes,,"POLYGON ((-2.2744698 53.4853435, -2.274573 53.4857429, -2.2742263 53.4857747, -2.2743233 53.4861488, -2.2740753 53.4861715, -2.2741152 53.4863254, -2.2735087 53.4863809, -2.2734751 53.4862506, -2.2733381 53.48572, -2.273702 53.4856867, -2.2736173 53.4853599, -2.2741075 53.4853149, -2.2744542 53.4852832, -2.2744698 53.4853435))",POINT (-2.273936407729371 53.48581360806699)
,9,24043807,,yes,,"POLYGON ((-2.2758468 53.4916001, -2.2751363 53.4918848, -2.2754265 53.4921411, -2.276137 53.4918564, -2.2758468 53.4916001))",POINT (-2.275636650000001 53.49187060000001)
