name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,VDF_fftt1
South Forest Avenue,228,223225595,62,19,,128.2435929,1,25,,residential,6,"LINESTRING (-111.9366746 33.4232058, -111.9366737 33.4233232, -111.9366703 33.423784, -111.9366669 33.4242409, -111.936666 33.4243591)",auto,1,0.307784623
South Forest Avenue,229,223225595,62,181,,135.0736212,1,25,,residential,6,"LINESTRING (-111.9366746 33.4232058, -111.9366734 33.4230882, -111.9366683 33.4225993, -111.9366668 33.4224568, -111.9366665 33.4224305, -111.9366626 33.4220574, -111.9366619 33.4219911)",auto,1,0.324176691
South Forest Avenue,230,223225595,181,62,,135.0736212,1,25,,residential,6,"LINESTRING (-111.9366619 33.4219911, -111.9366626 33.4220574, -111.9366665 33.4224305, -111.9366668 33.4224568, -111.9366683 33.4225993, -111.9366734 33.4230882, -111.9366746 33.4232058)",auto,1,0.324176691
South Forest Avenue,231,223225595,181,53,,9.707476807,1,25,,residential,6,"LINESTRING (-111.9366619 33.4219911, -111.9366625 33.4219038)",auto,1,0.023297944
South Forest Avenue,232,223225595,53,181,,9.707476807,1,25,,residential,6,"LINESTRING (-111.9366625 33.4219038, -111.9366619 33.4219911)",auto,1,0.023297944
South Forest Avenue,233,223225595,53,129,,67.96132764,1,25,,residential,6,"LINESTRING (-111.9366625 33.4219038, -111.9366612 33.4218453, -111.9366602 33.4218359, -111.9366407 33.4212929)",auto,1,0.163107186
South Forest Avenue,234,223225595,129,53,,67.96132764,1,25,,residential,6,"LINESTRING (-111.9366407 33.4212929, -111.9366602 33.4218359, -111.9366612 33.4218453, -111.9366625 33.4219038)",auto,1,0.163107186
South Forest Avenue,235,223225602,130,129,,42.8439577,1,29,,residential,6,"LINESTRING (-111.936667 33.4212884, -111.936692 33.421276, -111.9367094 33.4212576, -111.9367179 33.4212346, -111.9367173 33.4212163, -111.9367079 33.4211944, -111.9366988 33.4211839, -111.9366766 33.4211693, -111.9366438 33.4211619, -111.9366099 33.421167, -111.9365885 33.4211782, -111.9365779 33.4211878, -111.936566 33.4212066, -111.9365625 33.4212303, -111.9365654 33.421246, -111.936581 33.4212697, -111.9366004 33.4212832, -111.9366407 33.4212929)",auto,0,0.088642671
South Forest Avenue,236,223225602,129,130,,2.491613974,1,29,,residential,6,"LINESTRING (-111.9366407 33.4212929, -111.936667 33.4212884)",auto,0,0.005155063
East 11th Street,237,256917834,84,346,,6.478377021,1,29,,residential,6,"LINESTRING (-111.940029 33.4174558, -111.9399592 33.4174561)",auto,0,0.013403539
