agent_id,y_coord,x_coord,trace_no,trace_id,o_node_id,d_node_id
JUPI0014,33.414725,-111.936576,0,0,384,74
JUPI0014,33.415152,-111.936573,1,1,,
JUPI0014,33.415914,-111.936586,2,2,,
JUPI0014,33.415914,-111.936586,3,3,,
JUPI0014,33.417441,-111.936613,4,4,,
JUPI0014,33.417566,-111.936636,5,5,,
JUPI0014,33.417566,-111.936636,6,6,,
JUPI0014,33.417618,-111.936645,7,7,,
JUPI0014,33.417644,-111.936748,8,8,,
JUPI0014,33.417634,-111.938314,9,9,,
JUPI0014,33.417634,-111.938314,10,10,,
JUPI0014,33.417628,-111.939315,11,11,,
JUPI0014,33.417626,-111.93984,12,12,,
JUPI0014,33.417858,-111.939844,13,13,,
JUPI0014,33.417858,-111.939844,14,14,,
JUPI0014,33.418692,-111.939859,15,15,,
JUPI0014,33.419056,-111.939858,16,16,,
JUPI0014,33.419474,-111.939858,17,17,,
JUPI0014,33.419474,-111.939858,18,18,,
JUPI0014,33.419622,-111.939858,19,19,,
JUPI0014,33.420802,-111.939874,20,20,,
JUPI0014,33.420802,-111.939874,21,21,,
JUPI0014,33.421124,-111.939879,22,22,,
JUPI0014,33.421683,-111.939892,23,23,,
JUPI0014,33.421878,-111.939902,24,24,,
JUPI0014,33.42197,-111.939906,25,25,,
JUPI0014,33.422245,-111.93992,26,26,,
JUPI0014,33.422566,-111.939935,27,27,,
JUPI0014,33.422566,-111.939935,28,28,,
JUPI0014,33.422851,-111.939949,29,29,,
JUPI0014,33.423469,-111.939963,30,30,,
JUPI0014,33.423469,-111.939963,31,31,,
JUPI0014,33.423606,-111.939966,32,32,,
JUPI0014,33.42445,-111.93995,33,33,,
JUPI0014,33.424638,-111.93995,34,34,,
JUPI0014,33.424638,-111.93995,35,35,,
JUPI0014,33.425106,-111.93995,36,36,,
JUPI0014,33.425493,-111.939949,37,37,,
JUPI0014,33.425496,-111.938817,38,38,,
JUPI0014,33.425496,-111.938817,39,39,,
JUPI0014,33.425497,-111.938165,40,40,,
JUPI0014,33.425503,-111.936667,41,41,,
JUPI0014,33.425505,-111.935354,42,42,,
JUPI0014,33.425644,-111.935364,43,43,,
JUPI0014,33.425682,-111.93538,44,44,,
JUPI0014,33.42572,-111.935409,45,45,,
JUPI0014,33.425765,-111.935479,46,46,,
JUPI0014,33.425791,-111.935575,47,47,,
JUPI0014,33.425805,-111.93568,48,48,,
JUPI0014,33.425808,-111.935826,49,49,,
JUPI0014,33.425808,-111.935964,50,50,,
JUPI0014,33.425806,-111.936122,51,51,,
