gps_trace_id,agent_id,x_coord,y_coord,global_sec,interval,relative_sec,distance,speed
0,6,-111.938586,33.415245,1000,0,0,0.000000,0.000000,
1,6,-111.938955,33.415504,1003,3,3,0.000451,0.000150,
2,6,-111.939189,33.415720,1006,3,6,0.000319,0.000106,
3,6,-111.939324,33.415871,1009,3,9,0.000202,0.000067,
4,6,-111.939503,33.416115,1014,5,14,0.000303,0.000061,
5,6,-111.939643,33.416375,1017,3,17,0.000296,0.000099,
6,6,-111.939801,33.416811,1021,4,21,0.000464,0.000116,
7,6,-111.939862,33.417298,1025,4,25,0.000490,0.000123,
8,6,-111.939869,33.418025,1031,6,31,0.000727,0.000121,
9,6,-111.939872,33.418416,1035,4,35,0.000391,0.000098,
10,6,-111.939892,33.418695,1039,4,39,0.000280,0.000070,
11,6,-111.939902,33.418798,1043,4,43,0.000104,0.000026,
12,6,-111.939896,33.418790,1050,7,50,0.000010,0.000001,
13,6,-111.939879,33.418824,1086,36,86,0.000038,0.000001,
14,6,-111.939879,33.418980,1089,3,89,0.000156,0.000052,
15,6,-111.939885,33.419348,1093,4,93,0.000368,0.000092,
16,6,-111.939896,33.419941,1098,5,98,0.000593,0.000119,
17,6,-111.939913,33.421067,1108,10,108,0.001126,0.000113,
18,6,-111.939927,33.421449,1112,4,112,0.000381,0.000095,
19,6,-111.939946,33.421635,1115,3,115,0.000187,0.000062,
20,6,-111.939954,33.421723,1118,3,118,0.000089,0.000030,
21,6,-111.939939,33.421715,1122,4,122,0.000017,0.000004,
22,6,-111.939903,33.421675,1141,19,141,0.000053,0.000003,
23,6,-111.939920,33.421683,1174,33,174,0.000018,0.000001,
24,6,-111.939923,33.421793,1177,3,177,0.000110,0.000037,
25,6,-111.939928,33.422025,1180,3,180,0.000232,0.000077,
26,6,-111.939976,33.422783,1188,8,188,0.000759,0.000095,
27,6,-111.939983,33.422967,1191,3,191,0.000183,0.000061,
28,6,-111.939984,33.423065,1195,4,195,0.000098,0.000025,
29,6,-111.939978,33.423068,1201,6,201,0.000006,0.000001,
30,6,-111.939953,33.423112,1219,18,219,0.000051,0.000003,
31,6,-111.939949,33.423289,1222,3,222,0.000177,0.000059,
32,6,-111.939950,33.423865,1229,7,229,0.000576,0.000082,
33,6,-111.939933,33.424322,1233,4,233,0.000457,0.000114,
34,6,-111.939967,33.425278,1241,8,241,0.000957,0.000120,
35,6,-111.939961,33.426201,1249,8,249,0.000922,0.000115,
36,6,-111.939985,33.426555,1253,4,253,0.000355,0.000089,
37,6,-111.939968,33.426916,1258,5,258,0.000361,0.000072,
38,6,-111.939976,33.427020,1261,3,261,0.000105,0.000035,
39,6,-111.939980,33.427033,1265,4,265,0.000014,0.000003,
40,6,-111.939974,33.427109,1269,4,269,0.000076,0.000019,
41,6,-111.939977,33.427299,1272,3,272,0.000190,0.000063,
42,6,-111.939988,33.427765,1277,5,277,0.000466,0.000093,
43,6,-111.940000,33.428431,1283,6,283,0.000666,0.000111,
44,6,-111.939994,33.429038,1289,6,289,0.000607,0.000101,
45,6,-111.940000,33.429204,1292,3,292,0.000166,0.000055,
46,6,-111.940009,33.429263,1295,3,295,0.000060,0.000020,
47,6,-111.940022,33.429303,1306,11,306,0.000042,0.000004,
48,6,-111.940022,33.429479,1309,3,309,0.000176,0.000059,
49,6,-111.940009,33.429768,1312,3,312,0.000289,0.000096,
50,6,-111.939996,33.430263,1316,4,316,0.000495,0.000124,
51,6,-111.940042,33.430976,1321,5,321,0.000714,0.000143,
52,6,-111.940201,33.431916,1327,6,327,0.000953,0.000159,
