agent_id,date,,hh,mm,ss,y_coord,x_coord
1,17:24:10,,17,24,10,33.41237445,-111.9590124
1,17:24:32,,17,24,32,33.412375,-111.959012
1,17:24:52,,17,24,52,33.41237526,-111.959012
1,17:25:13,,17,25,13,33.41237525,-111.9590123
1,17:25:35,,17,25,35,33.4123751,-111.9590127
1,17:25:56,,17,25,56,33.41237533,-111.9590128
1,17:26:18,,17,26,18,33.41237522,-111.9590129
1,17:26:38,,17,26,38,33.41237521,-111.959013
1,17:26:57,,17,26,57,33.41237497,-111.9590133
1,17:27:17,,17,27,17,33.4123444,-111.9584448
1,17:27:37,,17,27,37,33.41175091,-111.9579494
1,17:28:01,,17,28,1,33.41153796,-111.9593507
1,17:28:20,,17,28,20,33.41160451,-111.9607472
1,17:28:42,,17,28,42,33.41454827,-111.9607815
1,17:29:03,,17,29,3,33.41818706,-111.9608056
1,17:29:23,,17,29,23,33.42107727,-111.9608339
1,17:29:41,,17,29,41,33.42159545,-111.9608324
1,17:30:03,,17,30,3,33.42360092,-111.9608503
1,17:30:24,,17,30,24,33.4256372,-111.9608466
1,17:30:48,,17,30,48,33.42863494,-111.9608238
1,17:31:04,,17,31,4,33.4323316,-111.9610774
1,17:31:25,,17,31,25,33.43587233,-111.9608579
1,17:31:45,,17,31,45,33.43697314,-111.9596166
1,17:32:06,,17,32,6,33.43605303,-111.9547737
1,17:32:27,,17,32,27,33.43599743,-111.9527462
1,17:32:50,,17,32,50,33.43587162,-111.9500464
1,17:33:08,,17,33,8,33.43575236,-111.947207
1,17:33:29,,17,33,29,33.435497,-111.9431717
1,17:33:51,,17,33,51,33.43502224,-111.938547
1,17:34:13,,17,34,13,33.43476438,-111.9363415
1,17:34:32,,17,34,32,33.4348751,-111.9355208
1,17:34:56,,17,34,56,33.43493889,-111.9344639
1,17:35:14,,17,35,14,33.43540728,-111.9315558
1,17:35:35,,17,35,35,33.43583478,-111.9288533
1,17:35:59,,17,35,59,33.43591467,-111.9267733
1,17:36:18,,17,36,18,33.4359174,-111.9250017
1,17:36:36,,17,36,36,33.43585039,-111.9228261
1,17:37:00,,17,37,0,33.43578219,-111.9195373
1,17:37:19,,17,37,19,33.43574146,-111.9149303
1,17:37:37,,17,37,37,33.4362331,-111.9107995
1,17:38:01,,17,38,1,33.43644304,-111.9098594
1,17:38:20,,17,38,20,33.43423236,-111.9093468
1,17:38:39,,17,38,39,33.43253011,-111.9092853
1,17:39:02,,17,39,2,33.4325265,-111.9092851
1,17:39:21,,17,39,21,33.43252612,-111.9092855
