from_node_id,to_node_id,cell_id,FFTT_in_sec,distance,o_distance,d_distance,accessbility_time,hit_count,use_count,balance,geometry
378,1,-2238999332,9,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9442627 33.4302, -111.9442601 33.4299032, -111.9442568 33.4295279, -111.9442567 33.4295155)"
1,378,-2238999332,9,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9442567 33.4295155, -111.9442568 33.4295279, -111.9442601 33.4299032, -111.9442627 33.4302)"
14,92,-2238999332,6,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9304264 33.4231268, -111.930412 33.4231839)"
92,14,-2238999332,6,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.930412 33.4231839, -111.9304264 33.4231268)"
92,105,-2238999332,6,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.930412 33.4231839, -111.9304005 33.4232277)"
105,92,-2238999332,6,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9304005 33.4232277, -111.930412 33.4231839)"
105,15,-2238999332,23,0.001419,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9304005 33.4232277, -111.9303882 33.423295, -111.9303108 33.4236887, -111.9302973 33.4237531, -111.9302813 33.4238045, -111.930243 33.4238667, -111.9302129 33.4238974, -111.9301639 33.4239305, -111.9301123 33.4239534, -111.929686 33.4241011, -111.929663 33.424109, -111.9292198 33.4242567, -111.9290798 33.4242989)"
15,105,-2238999332,23,0.001249,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9290798 33.4242989, -111.9292198 33.4242567, -111.929663 33.424109, -111.929686 33.4241011, -111.9301123 33.4239534, -111.9301639 33.4239305, -111.9302129 33.4238974, -111.930243 33.4238667, -111.9302813 33.4238045, -111.9302973 33.4237531, -111.9303108 33.4236887, -111.9303882 33.423295, -111.9304005 33.4232277)"
191,17,-2238999332,15,0.000037,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9412665 33.4243385, -111.9407083 33.4243409, -111.9400786 33.4243437)"
17,191,-2238999332,15,0.000155,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9400786 33.4243437, -111.9407083 33.4243409, -111.9412665 33.4243385)"
148,19,-2238999332,12,0.000356,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9376334 33.4243567, -111.9375509 33.4243581, -111.9373581 33.4243583, -111.9367572 33.424359, -111.936666 33.4243591)"
19,148,-2238999332,12,0.000259,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.936666 33.4243591, -111.9367572 33.424359, -111.9373581 33.4243583, -111.9375509 33.4243581, -111.9376334 33.4243567)"
19,73,-2238999332,22,0.000580,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.936666 33.4243591, -111.9365605 33.4243597, -111.9362338 33.4243617, -111.9358561 33.4243639, -111.9355078 33.424366, -111.9353948 33.4243414, -111.9353091 33.4243324, -111.9350964 33.4243366, -111.9349809 33.4243346)"
73,19,-2238999332,22,0.000411,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9349809 33.4243346, -111.9350964 33.4243366, -111.9353091 33.4243324, -111.9353948 33.4243414, -111.9355078 33.424366, -111.9358561 33.4243639, -111.9362338 33.4243617, -111.9365605 33.4243597, -111.936666 33.4243591)"
20,354,-2238999332,19,0.001467,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9412608 33.4219305, -111.9412432 33.4213251, -111.9412418 33.4212879, -111.9412404 33.4212296, -111.9412399 33.4211998, -111.9412309 33.4205714, -111.94123 33.4205223)"
354,20,-2238999332,19,0.001435,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.94123 33.4205223, -111.9412309 33.4205714, -111.9412399 33.4211998, -111.9412404 33.4212296, -111.9412418 33.4212879, -111.9412432 33.4213251, -111.9412608 33.4219305)"
379,24,-2238999332,16,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9424473 33.415, -111.9424521 33.4157344, -111.9424522 33.4157881, -111.9424525 33.4159781, -111.9424526 33.4160145, -111.9424528 33.4161632, -111.9424528 33.4161904)"
24,379,-2238999332,16,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9424528 33.4161904, -111.9424528 33.4161632, -111.9424526 33.4160145, -111.9424525 33.4159781, -111.9424522 33.4157881, -111.9424521 33.4157344, -111.9424473 33.415)"
24,25,-2238999332,19,0.002831,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9424528 33.4161904, -111.9424497 33.4169032, -111.9424492 33.4170136, -111.9424525 33.4176183)"
