from_node_id,to_node_id,cell_id,FFTT_in_sec,distance,o_distance,d_distance,accessbility_time,hit_count,use_count,balance,geometry
25,24,-2238999332,19,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9424525 33.4176183, -111.9424492 33.4170136, -111.9424497 33.4169032, -111.9424528 33.4161904)"
25,26,-2238999332,19,0.002693,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9424525 33.4176183, -111.9424524 33.4177004, -111.9424519 33.4183184, -111.9424528 33.4184029, -111.9424582 33.4189409, -111.9424489 33.4189802, -111.9424268 33.4190138, -111.9423945 33.4190482)"
26,25,-2238999332,19,0.002781,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9423945 33.4190482, -111.9424268 33.4190138, -111.9424489 33.4189802, -111.9424582 33.4189409, -111.9424528 33.4184029, -111.9424519 33.4183184, -111.9424524 33.4177004, -111.9424525 33.4176183)"
26,355,-2238999332,19,0.002674,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9423945 33.4190482, -111.9423684 33.4190899, -111.9423603 33.4191344, -111.9423658 33.4196106, -111.942368 33.4197262, -111.9423734 33.4204313)"
355,26,-2238999332,19,0.002746,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9423734 33.4204313, -111.942368 33.4197262, -111.9423658 33.4196106, -111.9423603 33.4191344, -111.9423684 33.4190899, -111.9423945 33.4190482)"
76,380,-2238999332,14,0.000125,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9395884 33.4159654, -111.9395362 33.4159003, -111.9394011 33.4157327, -111.9392425 33.41555, -111.9389322 33.4153003, -111.9388168 33.4152112, -111.9386707 33.4151129, -111.9384473 33.415)"
140,41,-2238999332,6,0.000102,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9399641 33.4264662, -111.940024 33.4264642, -111.9400776 33.4264624)"
41,140,-2238999332,6,0.000098,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9400776 33.4264624, -111.940024 33.4264642, -111.9399641 33.4264662)"
41,42,-2238999332,9,0.000172,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9400776 33.4264624, -111.940778 33.4264585)"
42,41,-2238999332,9,0.000105,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.940778 33.4264585, -111.9400776 33.4264624)"
50,122,-2238999332,19,0.000162,999999.000000,999999.000000,999999,1,0,0.000000,0.000000,"LINESTRING (-111.9400803 33.4219289, -111.9400874 33.4217822, -111.9400779 33.4214219, -111.9400726 33.4212626, -111.9400612 33.4209214, -111.9400495 33.4205725, -111.9400474 33.4204936)"
9,381,-2238999332,8,0.000561,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.944246 33.4194019, -111.945 33.4194026)"
381,9,-2238999332,8,0.000486,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.945 33.4194026, -111.944246 33.4194019)"
121,21,-2238999332,13,0.000130,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.940028 33.4190552, -111.9401135 33.419054, -111.9403101 33.4190557, -111.9404614 33.4190531, -111.940488 33.4190526, -111.9405973 33.4190507, -111.9412375 33.4190521)"
21,121,-2238999332,13,0.000092,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9412375 33.4190521, -111.9405973 33.4190507, -111.940488 33.4190526, -111.9404614 33.4190531, -111.9403101 33.4190557, -111.9401135 33.419054, -111.940028 33.4190552)"
21,26,-2238999332,13,0.000328,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9412375 33.4190521, -111.9417794 33.4190532, -111.9418437 33.4190521, -111.9423945 33.4190482)"
26,21,-2238999332,13,0.000213,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9423945 33.4190482, -111.9418437 33.4190521, -111.9417794 33.4190532, -111.9412375 33.4190521)"
26,196,-2238999332,13,0.000506,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9423945 33.4190482, -111.9432482 33.4190383, -111.9433085 33.4190348, -111.9433719 33.4190264, -111.9434306 33.4190141, -111.9434766 33.4190015, -111.9435652 33.4189718)"
196,26,-2238999332,13,0.000389,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9435652 33.4189718, -111.9434766 33.4190015, -111.9434306 33.4190141, -111.9433719 33.4190264, -111.9433085 33.4190348, -111.9432482 33.4190383, -111.9423945 33.4190482)"
196,10,-2238999332,7,0.000520,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9435652 33.4189718, -111.9436258 33.4189528, -111.9436632 33.4189424, -111.9436854 33.4189363, -111.9437511 33.4189279, -111.9438168 33.4189228, -111.943884 33.4189205, -111.9442453 33.4189174)"
10,196,-2238999332,7,0.000452,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9442453 33.4189174, -111.943884 33.4189205, -111.9438168 33.4189228, -111.9437511 33.4189279, -111.9436854 33.4189363, -111.9436632 33.4189424, -111.9436258 33.4189528, -111.9435652 33.4189718)"
124,53,-2238999332,14,0.000423,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9381462 33.4218977, -111.9380605 33.4218977, -111.9367573 33.4219048, -111.9366625 33.4219038)"
53,377,-2238999332,16,0.000607,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9366625 33.4219038, -111.9365628 33.4219033, -111.9358468 33.4219032, -111.9356516 33.4219032, -111.9352555 33.4219032, -111.9350608 33.4218992, -111.9349485 33.421897)"
141,142,-2238999332,6,0.000095,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9395019 33.4273825, -111.939719 33.4273828, -111.9398405 33.427384, -111.9398764 33.4273843, -111.9399633 33.4273851)"
142,141,-2238999332,6,0.000135,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9399633 33.4273851, -111.9398764 33.4273843, -111.9398405 33.427384, -111.939719 33.4273828, -111.9395019 33.4273825)"
5,382,-2238999332,9,0.000569,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9442993 33.4231771, -111.9448229 33.4231773, -111.945 33.4231773)"
382,5,-2238999332,9,0.000499,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.945 33.4231773, -111.9448229 33.4231773, -111.9442993 33.4231771)"
97,194,-2238999332,13,0.000376,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9394161 33.4254973, -111.9392877 33.4254971, -111.9390426 33.4254967, -111.9388368 33.4254969, -111.9382883 33.4254956, -111.9382749 33.4254956, -111.938161 33.4254954)"
194,97,-2238999332,13,0.000279,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.938161 33.4254954, -111.9382749 33.4254956, -111.9382883 33.4254956, -111.9388368 33.4254969, -111.9390426 33.4254967, -111.9392877 33.4254971, -111.9394161 33.4254973)"
194,59,-2238999332,16,0.000543,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.938161 33.4254954, -111.9380281 33.4254952, -111.9367711 33.4254993, -111.9366724 33.4254992)"
59,194,-2238999332,16,0.000394,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9366724 33.4254992, -111.9367711 33.4254993, -111.9380281 33.4254952, -111.938161 33.4254954)"
294,43,-2238999332,21,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.928844 33.4180457, -111.9288373 33.4178241, -111.9288318 33.4176416, -111.9288935 33.4173718, -111.9290271 33.4170735, -111.9292471 33.4167849, -111.9294043 33.4166443)"
43,294,-2238999332,21,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9294043 33.4166443, -111.9292471 33.4167849, -111.9290271 33.4170735, -111.9288935 33.4173718, -111.9288318 33.4176416, -111.9288373 33.4178241, -111.928844 33.4180457)"
15,58,-2238999332,60,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9290798 33.4242989, -111.9291154 33.4243892, -111.9292331 33.4246528, -111.9292598 33.4248052, -111.92926 33.4248931, -111.9292601 33.4249516, -111.929282 33.4267113, -111.929292 33.4273267, -111.9293027 33.4279796, -111.9293051 33.4285424, -111.9293052 33.4285703, -111.9293057 33.4286516)"
58,15,-2238999332,60,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9293057 33.4286516, -111.9293052 33.4285703, -111.9293051 33.4285424, -111.9293027 33.4279796, -111.929292 33.4273267, -111.929282 33.4267113, -111.9292601 33.4249516, -111.92926 33.4248931, -111.9292598 33.4248052, -111.9292331 33.4246528, -111.9291154 33.4243892, -111.9290798 33.4242989)"
36,383,-2238999332,96,0.002431,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9262379 33.4209763, -111.9261191 33.4209521, -111.9243772 33.4205887, -111.9242516 33.4205624, -111.9241712 33.4205457, -111.923925 33.4204935, -111.9231271 33.4203242, -111.9228355 33.4202623, -111.9211439 33.4199033, -111.9206349 33.4197953, -111.9202301 33.419729, -111.9201469 33.4197154, -111.9200675 33.4197066, -111.9189449 33.4195817, -111.9187782 33.4195632, -111.9184474 33.4195264, -111.9181661 33.4194884, -111.9178 33.4194389)"
383,36,-2238999332,96,0.001573,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9178 33.4194389, -111.9181661 33.4194884, -111.9184474 33.4195264, -111.9187782 33.4195632, -111.9189449 33.4195817, -111.9200675 33.4197066, -111.9201469 33.4197154, -111.9202301 33.419729, -111.9206349 33.4197953, -111.9211439 33.4199033, -111.9228355 33.4202623, -111.9231271 33.4203242, -111.923925 33.4204935, -111.9241712 33.4205457, -111.9242516 33.4205624, -111.9243772 33.4205887, -111.9261191 33.4209521, -111.9262379 33.4209763)"
312,313,-2238999332,34,0.002196,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.936655 33.4174833, -111.9366529 33.4173851, -111.9366318 33.4164108, -111.9366289 33.4162774, -111.9366276 33.4162059)"
313,312,-2238999332,34,0.002274,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9366276 33.4162059, -111.9366289 33.4162774, -111.9366318 33.4164108, -111.9366529 33.4173851, -111.936655 33.4174833)"
313,384,-2238999332,32,0.002171,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9366276 33.4162059, -111.9366262 33.4161337, -111.9366235 33.4159544, -111.9366159 33.4154174, -111.9366121 33.4151484, -111.9366113 33.4150834, -111.9366102 33.415)"
384,313,-2238999332,32,0.002190,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9366102 33.415, -111.9366113 33.4150834, -111.9366121 33.4151484, -111.9366159 33.4154174, -111.9366235 33.4159544, -111.9366262 33.4161337, -111.9366276 33.4162059)"
12,385,-2238999332,8,0.000524,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.944241 33.4168222, -111.9443327 33.4168225, -111.9448138 33.4168241, -111.945 33.4168248)"
385,12,-2238999332,8,0.000448,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.945 33.4168248, -111.9448138 33.4168241, -111.9443327 33.4168225, -111.944241 33.4168222)"
63,135,-2238999332,20,0.000085,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9381178 33.419078, -111.9387912 33.4190679, -111.9394774 33.4190577, -111.9396092 33.4190557, -111.9398053 33.4190582, -111.939854 33.4190575)"
135,63,-2238999332,20,0.000115,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.939854 33.4190575, -111.9398053 33.4190582, -111.9396092 33.4190557, -111.9394774 33.4190577, -111.9387912 33.4190679, -111.9381178 33.419078)"
135,337,-2238999332,6,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.939854 33.4190575, -111.9398947 33.419057)"
337,135,-2238999332,6,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9398947 33.419057, -111.939854 33.4190575)"
337,339,-2238999332,6,0.000090,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9398947 33.419057, -111.9399806 33.4190558)"
339,337,-2238999332,6,0.000085,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9399806 33.4190558, -111.9398947 33.419057)"
339,121,-2238999332,6,0.000094,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9399806 33.4190558, -111.940028 33.4190552)"
121,339,-2238999332,6,0.000090,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.940028 33.4190552, -111.9399806 33.4190558)"
4,386,-2238999332,8,0.000532,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9443033 33.4243197, -111.9447197 33.4243219, -111.945 33.4243234)"
386,4,-2238999332,8,0.000463,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.945 33.4243234, -111.9447197 33.4243219, -111.9443033 33.4243197)"
124,195,-2238999332,18,0.001093,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9381462 33.4218977, -111.9381443 33.4218328, -111.9381441 33.421823, -111.9381352 33.4213307, -111.9381331 33.4212166, -111.9381205 33.4205221)"
195,124,-2238999332,18,0.001230,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9381205 33.4205221, -111.9381331 33.4212166, -111.9381352 33.4213307, -111.9381441 33.421823, -111.9381443 33.4218328, -111.9381462 33.4218977)"
195,63,-2238999332,19,0.000861,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9381205 33.4205221, -111.9381166 33.4203044, -111.9381172 33.4196844, -111.9381177 33.4191316, -111.9381178 33.419078)"
63,195,-2238999332,19,0.001005,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9381178 33.419078, -111.9381177 33.4191316, -111.9381172 33.4196844, -111.9381166 33.4203044, -111.9381205 33.4205221)"
60,73,-2238999332,15,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9349278 33.4254396, -111.9349717 33.4252787, -111.9349838 33.4248448, -111.9349808 33.4243956, -111.9349809 33.4243346)"
73,60,-2238999332,15,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9349809 33.4243346, -111.9349808 33.4243956, -111.9349838 33.4248448, -111.9349717 33.4252787, -111.9349278 33.4254396)"
73,65,-2238999332,15,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9349809 33.4243346, -111.9349826 33.4242604, -111.9349897 33.423492, -111.9349908 33.423379, -111.9349911 33.4233422, -111.9349907 33.423297, -111.9349899 33.4232132)"
65,73,-2238999332,15,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9349899 33.4232132, -111.9349907 33.423297, -111.9349911 33.4233422, -111.9349908 33.423379, -111.9349897 33.423492, -111.9349826 33.4242604, -111.9349809 33.4243346)"
65,54,-2238999332,16,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9349899 33.4232132, -111.9349885 33.4231495, -111.9349766 33.4226097, -111.9349474 33.4220731, -111.9349431 33.4220042)"
54,65,-2238999332,16,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9349431 33.4220042, -111.9349474 33.4220731, -111.9349766 33.4226097, -111.9349885 33.4231495, -111.9349899 33.4232132)"
52,23,-2238999332,14,0.000235,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9399894 33.4162047, -111.9405834 33.4162013, -111.941205 33.416204)"
23,52,-2238999332,14,0.000140,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.941205 33.416204, -111.9405834 33.4162013, -111.9399894 33.4162047)"
23,24,-2238999332,14,0.000403,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.941205 33.416204, -111.941821 33.4161933, -111.9424528 33.4161904)"
24,23,-2238999332,14,0.000278,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9424528 33.4161904, -111.941821 33.4161933, -111.941205 33.416204)"
13,387,-2238999332,8,0.000608,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9442403 33.4160678, -111.9448136 33.4160691, -111.945 33.4160696)"
387,13,-2238999332,8,0.000532,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.945 33.4160696, -111.9448136 33.4160691, -111.9442403 33.4160678)"
119,313,-2238999332,6,0.000350,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9370673 33.4162376, -111.9369754 33.4162264, -111.9368855 33.4162192, -111.9367114 33.41621, -111.9366276 33.4162059)"
313,119,-2238999332,6,0.000306,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9366276 33.4162059, -111.9367114 33.41621, -111.9368855 33.4162192, -111.9369754 33.4162264, -111.9370673 33.4162376)"
61,318,-2238999332,12,0.001544,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9289198 33.4202704, -111.928813 33.4202727, -111.9288 33.420273, -111.9280217 33.4202698, -111.9278714 33.4202692)"
318,61,-2238999332,12,0.001440,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9278714 33.4202692, -111.9280217 33.4202698, -111.9288 33.420273, -111.928813 33.4202727, -111.9289198 33.4202704)"
77,78,-2238999332,12,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9338292 33.4183283, -111.9338279 33.4182646, -111.9338274 33.4182431, -111.933827 33.418222, -111.9338106 33.4174451)"
78,77,-2238999332,12,0.050000,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9338106 33.4174451, -111.933827 33.418222, -111.9338274 33.4182431, -111.9338279 33.4182646, -111.9338292 33.4183283)"
7,388,-2238999332,8,0.000946,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9442498 33.420638, -111.945 33.420639)"
388,7,-2238999332,8,0.000871,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.945 33.420639, -111.9442498 33.420638)"
195,267,-2238999332,10,0.000659,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9381205 33.4205221, -111.9382483 33.4205199, -111.9383704 33.4205178, -111.9384391 33.4205166, -111.9385716 33.4205143, -111.9387606 33.4205111, -111.9389314 33.4205069)"
267,195,-2238999332,10,0.000734,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9389314 33.4205069, -111.9387606 33.4205111, -111.9385716 33.4205143, -111.9384391 33.4205166, -111.9383704 33.4205178, -111.9382483 33.4205199, -111.9381205 33.4205221)"
49,137,-2238999332,6,0.000083,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9400687 33.4231956, -111.9399685 33.4231886)"
137,49,-2238999332,6,0.000090,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9399685 33.4231886, -111.9400687 33.4231956)"
137,64,-2238999332,24,0.000098,999999.000000,999999.000000,999999,1,0,0.000000,0.000000,"LINESTRING (-111.9399685 33.4231886, -111.9398537 33.4231887, -111.9394081 33.4231893, -111.9386929 33.4231902, -111.9386834 33.4231902, -111.9382169 33.4231912, -111.9381595 33.4231914)"
64,137,-2238999332,24,0.000084,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9381595 33.4231914, -111.9382169 33.4231912, -111.9386834 33.4231902, -111.9386929 33.4231902, -111.9394081 33.4231893, -111.9398537 33.4231887, -111.9399685 33.4231886)"
64,62,-2238999332,19,0.000390,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9381595 33.4231914, -111.9380587 33.4231924, -111.9375492 33.4231973, -111.9370222 33.4232024, -111.9367632 33.4232049, -111.9366746 33.4232058)"
62,64,-2238999332,19,0.000241,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9366746 33.4232058, -111.9367632 33.4232049, -111.9370222 33.4232024, -111.9375492 33.4231973, -111.9380587 33.4231924, -111.9381595 33.4231914)"
62,65,-2238999332,22,0.000576,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9366746 33.4232058, -111.9365584 33.4232063, -111.9362169 33.4232078, -111.9356657 33.4232102, -111.9354766 33.423211, -111.9351153 33.4232126, -111.9349899 33.4232132)"
65,62,-2238999332,22,0.000407,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9349899 33.4232132, -111.9351153 33.4232126, -111.9354766 33.423211, -111.9356657 33.4232102, -111.9362169 33.4232078, -111.9365584 33.4232063, -111.9366746 33.4232058)"
3,329,-2238999332,6,0.000664,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9442814 33.4254737, -111.9446893 33.4254741)"
329,3,-2238999332,6,0.000623,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9446893 33.4254741, -111.9442814 33.4254737)"
51,22,-2238999332,15,0.000441,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9400362 33.4176249, -111.9405076 33.4176174, -111.9405903 33.4176159, -111.94123 33.4176195)"
22,51,-2238999332,15,0.000365,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.94123 33.4176195, -111.9405903 33.4176159, -111.9405076 33.4176174, -111.9400362 33.4176249)"
22,25,-2238999332,16,0.000584,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.94123 33.4176195, -111.9418304 33.4176181, -111.9424525 33.4176183)"
25,22,-2238999332,16,0.000463,999999.000000,999999.000000,999999,0,0,0.000000,0.000000,"LINESTRING (-111.9424525 33.4176183, -111.9418304 33.4176181, -111.94123 33.4176195)"
