measurement_id,measurement_type,from_node_id,to_node_id,count1,upper_bound_flag1,lanes,free_speed,VCratio,TTI,link_type_name,link_type_code,allowed_link_type_code,blocked_link_type_code,geometry
20739AB,link,9028400,9028402,531.958313,0,1,41.000000,0.792784,-1.000000,primary,a,,,"LINESTRING (-112.195010 33.638650,-112.195330 33.638640,)"
20739BA,link,9028401,9028405,281.625000,0,1,41.000000,0.493214,-1.000000,primary,a,,,"LINESTRING (-112.195350 33.638500,-112.195140 33.638710,)"
20749AB,link,325201,37900,1016.656250,0,1,71.000000,0.596629,-1.000000,moto_1lane,a,,,"LINESTRING (-112.205290 33.668280,-112.210150 33.667820,)"
20750AB,link,74502,74600,1244.312500,0,1,71.000000,0.730230,-1.000000,moto_1lane,a,,,"LINESTRING (-112.210150 33.667590,-112.205510 33.667410,)"
20755AB,link,63200,74502,4840.625000,0,5,71.000000,0.568015,-1.000000,motorway,f,,,"LINESTRING (-112.210980 33.667570,-112.210150 33.667590,)"
20756AB,link,325201,37900,280.625000,0,1,71.000000,0.164686,-1.000000,moto_1lane,a,,,"LINESTRING (-112.205290 33.668280,-112.210150 33.667820,)"
21503AB,link,204500,48700,2660.750000,0,4,41.000000,0.990968,-1.000000,secondary,a,,,"LINESTRING (-112.203150 33.676060,-112.203140 33.675830,)"
21503BA,link,204601,204700,714.000000,0,3,41.000000,0.354518,-1.000000,secondary,a,,,"LINESTRING (-112.203010 33.676770,-112.203020 33.676820,)"
23183AB,link,272900,272700,618.166687,0,2,41.000000,0.460288,-1.000000,secondary,a,,,"LINESTRING (-112.203100 33.666580,-112.203090 33.665960,)"
23183BA,link,317201,272900,193.541672,0,1,41.000000,0.288438,-1.000000,secondary,a,,,"LINESTRING (-112.202930 33.666030,-112.203100 33.666580,)"
23683AB,link,281100,9029903,722.000000,0,4,40.000000,0.316112,-1.000000,secondary,a,,,"LINESTRING (-112.073750 33.683820,-112.074040 33.683820,)"
23683BA,link,9029904,9029900,369.083344,0,1,20.000000,0.011073,-1.000000,residential,a,,,"LINESTRING (-112.074180 33.683610,-112.074070 33.683690,)"
23696AB,link,75500,128300,3455.600098,0,4,70.000000,0.496209,-1.000000,motorway,f,f,a,"LINESTRING (-112.112280 33.684150,-112.112290 33.684980,)"
23701AB,link,9038801,9038800,275.833344,0,1,41.000000,0.411078,-1.000000,secondary,a,,,"LINESTRING (-112.005410 33.684090,-112.004930 33.684100,)"
23701BA,link,9038802,9038803,115.375000,0,1,41.000000,0.171945,-1.000000,secondary,a,,,"LINESTRING (-112.004910 33.684240,-112.005400 33.684230,)"
23709AB,link,47500,902,6856.645508,0,7,70.000000,0.562620,-1.000000,motorway,f,,,"LINESTRING (-112.113200 33.691130,-112.112960 33.689310,)"
23908AB,link,37803,37806,154.187500,0,1,41.000000,0.229788,-1.000000,secondary,a,,,"LINESTRING (-112.151970 33.647430,-112.151980 33.647340,)"
23908BA,link,37804,37802,259.187500,0,1,25.000000,0.007776,-1.000000,tertiary,a,,,"LINESTRING (-112.151800 33.647340,-112.151830 33.647420,)"
23911AB,link,10403,10406,365.625000,0,1,41.000000,0.544896,-1.000000,secondary,a,,,"LINESTRING (-112.186460 33.647290,-112.186470 33.647200,)"
23911BA,link,10402,231002,710.000000,0,2,41.000000,0.528667,-1.000000,secondary,a,,,"LINESTRING (-112.186330 33.647270,-112.186320 33.647510,)"
23943AB,link,13301,158101,785.625000,0,2,41.000000,0.584978,-1.000000,primary,a,,,"LINESTRING (-112.168400 33.632260,-112.168380 33.631840,)"
23943BA,link,158100,13300,892.125000,0,3,41.000000,0.442962,-1.000000,primary,a,,,"LINESTRING (-112.168250 33.631840,-112.168270 33.632250,)"
23952AB,link,106001,9029200,382.000000,0,3,41.000000,0.189672,-1.000000,secondary,a,,,"LINESTRING (-112.180220 33.654490,-112.181540 33.654500,)"
23952BA,link,9029103,9029105,311.875000,0,1,41.000000,0.464791,-1.000000,secondary,a,,,"LINESTRING (-112.177770 33.654370,-112.177630 33.654300,)"
24016AB,link,140100,137501,831.500000,0,2,41.000000,0.619136,-1.000000,secondary,a,,,"LINESTRING (-112.186780 33.675450,-112.186800 33.672920,)"
24016BA,link,9028902,333200,477.125000,0,2,41.000000,0.355268,-1.000000,secondary,a,,,"LINESTRING (-112.186670 33.672680,-112.186650 33.675070,)"
24017AB,link,9028906,9017100,144.250000,0,1,25.000000,0.004328,-1.000000,residential,a,,,"LINESTRING (-112.186880 33.672570,-112.187420 33.672530,)"
24017BA,link,9017101,9028907,328.750000,0,1,25.000000,0.009863,-1.000000,residential,a,,,"LINESTRING (-112.187420 33.672530,-112.186880 33.672490,)"
