sensor_no,sensor_id,Average of volume_pl_ph,Average of lanes,link_volume_per_hour,link_volume_period,,geometry,reference_speed,reference_lanes,lane_volume,allowed_link_type_code,blocked_link_type_code
261,13456AB,435,1,435,1740,,"LINESTRING (-111.893461 33.34215, -111.893366 33.327613)",70,1,435,,
262,13467AB,1401.166667,3,4203.500001,16814,,"LINESTRING (-111.893246 33.329152, -111.893453 33.327623)",70,3,1401.166667,f,a
263,13468AB,1249.3125,3,3747.9375,14991.75,,"LINESTRING (-111.893049 33.327619, -111.892918 33.32916)",70,3,1249.3125,f,a
264,13527AB,309.125,3,927.375,3709.5,,"LINESTRING (-111.902493 33.349205, -111.899922 33.349351)",40,3,309.125,,
265,13527BA,417.125,3,1251.375,5005.5,,"LINESTRING (-111.899922 33.349351, -111.902493 33.349205)",40,3,417.125,,
266,13597AB,157.9375,2,315.875,1263.5,,"LINESTRING (-111.900451 33.414787, -111.909129 33.414807)",35,2,157.9375,,
267,13597BA,166.5,2,333,1332,,"LINESTRING (-111.909129 33.414807, -111.900451 33.414787)",35,2,166.5,,
268,13598AB,300.3333333,3,900.9999999,3604,,"LINESTRING (-111.897686 33.407443, -111.909097 33.407516)",35,3,300.3333333,,
269,13598BA,247.375,3,742.125,2968.5,,"LINESTRING (-111.909097 33.407516, -111.897686 33.407443)",35,3,247.375,,
270,13611AB,318.625,3,955.875,3823.5,,"LINESTRING (-111.900621 33.378456, -111.902742 33.378449)",40,3,318.625,,
271,13611BA,171.25,3,513.75,2055,,"LINESTRING (-111.902742 33.378449, -111.900621 33.378456)",40,3,171.25,,
272,13681AB,275.75,3,827.25,3309,,"LINESTRING (-111.927594 33.381247, -111.928417 33.379896)",40,3,275.75,,
273,13681BA,515.75,3,1547.25,6189,,"LINESTRING (-111.928417 33.379896, -111.927594 33.381247)",40,3,515.75,,
274,13684AB,433.375,3,1300.125,5200.5,,"LINESTRING (-111.932099 33.378246, -111.934327 33.378241)",40,3,433.375,,
275,13684BA,260,3,780,3120,,"LINESTRING (-111.934327 33.378241, -111.932099 33.378246)",40,3,260,,
276,13730AB,243.8333333,3,731.4999999,2926,,"LINESTRING (-111.926311 33.389354, -111.926418 33.387734)",35,3,243.8333333,,
277,13730BA,325.1111111,3,975.3333333,3901.333333,,"LINESTRING (-111.926418 33.387734, -111.926311 33.389354)",35,3,325.1111111,,
278,13738AB,389.125,2,778.25,3113,,"LINESTRING (-111.911374 33.363791, -111.918207 33.363815)",40,2,389.125,,
279,13738BA,251.125,2,502.25,2009,,"LINESTRING (-111.918207 33.363815, -111.911374 33.363791)",40,2,251.125,,
280,13746AB,306.5,3,919.5,3678,,"LINESTRING (-111.909174 33.383894, -111.90926 33.378427)",40,3,306.5,,
281,13746BA,607.875,2,1215.75,4863,,"LINESTRING (-111.90926 33.378427, -111.909174 33.383894)",40,2,607.875,,
282,13789AB,254.25,3,762.75,3051,,"LINESTRING (-111.909184 33.389918, -111.909165 33.387038)",40,3,254.25,,
283,13789BA,717.375,2,1434.75,5739,,"LINESTRING (-111.909165 33.387038, -111.909184 33.389918)",40,2,717.375,,
284,13801AB,253.037037,3,759.111111,3036.444444,,"LINESTRING (-111.917741 33.392971, -111.923032 33.393014)",35,3,253.037037,,
285,13801BA,315,2,630,2520,,"LINESTRING (-111.923032 33.393014, -111.917741 33.392971)",35,2,315,,
286,13816AB,189.0416667,3,567.1250001,2268.5,,"LINESTRING (-111.926302 33.398922, -111.926339 33.392963)",35,3,189.0416667,,
287,13816BA,305.8888889,3,917.6666667,3670.666667,,"LINESTRING (-111.926339 33.392963, -111.926302 33.398922)",35,3,305.8888889,,
288,13837AB,212.75,3,638.25,2553,,"LINESTRING (-111.926298 33.419121, -111.926298 33.416848)",35,3,212.75,,
289,13837BA,300.1111111,3,900.3333333,3601.333333,,"LINESTRING (-111.926298 33.416848, -111.926298 33.419121)",35,3,300.1111111,,
290,13841AB,381.7142857,2,763.4285714,3053.714286,,"LINESTRING (-111.926291 33.407507, -111.929019 33.407489)",35,2,381.7142857,,
291,13841BA,276.6875,2,553.375,2213.5,,"LINESTRING (-111.929019 33.407489, -111.926291 33.407507)",35,2,276.6875,,
292,13896AB,274.8125,2,549.625,2198.5,,"LINESTRING (-111.909239 33.401943, -111.909124 33.400147)",35,2,274.8125,,
293,13896BA,436.1,2,872.2,3488.8,,"LINESTRING (-111.909124 33.400147, -111.909239 33.401943)",35,2,436.1,,
294,13902AB,228.75,2,457.5,1830,,"LINESTRING (-111.917689 33.421992, -111.909073 33.421967)",35,2,228.75,,
295,13902BA,411.375,2,822.75,3291,,"LINESTRING (-111.909073 33.421967, -111.917689 33.421992)",35,2,411.375,,
296,14053AB,204.25,3,612.75,2451,,"LINESTRING (-111.875276 33.38284, -111.876833 33.380955)",40,3,204.25,,
297,14053BA,385.375,3,1156.125,4624.5,,"LINESTRING (-111.876833 33.380955, -111.875276 33.38284)",40,3,385.375,,
298,1405AB,98.8125,2,197.625,790.5,,"LINESTRING (-112.677324 33.44121, -112.677428 33.448705)",61,2,98.8125,f,a
299,1405BA,193.5625,2,387.125,1548.5,,"LINESTRING (-112.677428 33.448705, -112.677324 33.44121)",61,2,193.5625,f,a
300,14087AB,322.625,3,967.875,3871.5,,"LINESTRING (-111.874654 33.389317, -111.874676 33.387231)",40,3,322.625,,
301,14087BA,330.625,3,991.875,3967.5,,"LINESTRING (-111.874676 33.387231, -111.874654 33.389317)",40,3,330.625,,
302,14108AB,1291.875,1,1291.875,5167.5,,"LINESTRING (-111.89095 33.399643, -111.89116 33.414847)",70,1,1291.875,,
303,14109AB,465.375,1,465.375,1861.5,,"LINESTRING (-111.891362 33.414826, -111.891156 33.399629)",70,1,465.375,,
304,14113AB,491.25,2,982.5,3930,,"LINESTRING (-111.886333 33.422055, -111.889557 33.422016)",40,2,491.25,,
305,14113BA,190.5,2,381,1524,,"LINESTRING (-111.889557 33.422016, -111.886333 33.422055)",40,2,190.5,,
306,14164AB,1596.55,4,6386.2,25544.8,,"LINESTRING (-111.89082 33.399647, -111.890888 33.402052)",70,4,1596.55,f,a
307,14165AB,1363.125,4,5452.5,21810,,"LINESTRING (-111.891288 33.400558, -111.891323 33.399647)",70,4,1363.125,f,a
308,14194AB,756.25,2,1512.5,6050,,"LINESTRING (-111.896159 33.422089, -111.897986 33.422124)",40,2,756.25,,
309,14194BA,319.25,2,638.5,2554,,"LINESTRING (-111.897986 33.422124, -111.896159 33.422089)",40,2,319.25,,
310,14308AB,315.5,3,946.5,3786,,"LINESTRING (-111.878164 33.393039, -111.880013 33.393034)",40,3,315.5,,
311,14308BA,381.875,2,763.75,3055,,"LINESTRING (-111.880013 33.393034, -111.878164 33.393039)",40,2,381.875,,
312,14321AB,194,2,388,1552,,"LINESTRING (-111.874459 33.414858, -111.883058 33.414828)",40,2,194,,
313,14321BA,161.375,2,322.75,1291,,"LINESTRING (-111.883058 33.414828, -111.874459 33.414858)",40,2,161.375,,
314,14334AB,528.875,2,1057.75,4231,,"LINESTRING (-111.8701 33.407598, -111.874534 33.407578)",40,2,528.875,,
315,14334BA,307.5,2,615,2460,,"LINESTRING (-111.874534 33.407578, -111.8701 33.407598)",40,2,307.5,,
316,14348AB,255,2,510,2040,,"LINESTRING (-111.841811 33.349735, -111.831023 33.349728)",40,2,255,,
317,14348BA,647.375,2,1294.75,5179,,"LINESTRING (-111.831023 33.349728, -111.841811 33.349735)",40,2,647.375,,
318,14349AB,627.4375,2,1254.875,5019.5,,"LINESTRING (-111.833018 33.335166, -111.841767 33.335116)",41,2,627.4375,,
319,14349BA,271.5,2,543,2172,,"LINESTRING (-111.841767 33.335116, -111.833018 33.335166)",41,2,271.5,,
320,14350AB,454.8125,2,909.625,3638.5,,"LINESTRING (-111.806892 33.32828, -111.806858 33.324477)",41,2,454.8125,,
321,14350BA,522.25,2,1044.5,4178,,"LINESTRING (-111.806858 33.324477, -111.806892 33.32828)",41,2,522.25,,
322,14381AB,225.25,3,675.75,2703,,"LINESTRING (-111.850263 33.306117, -111.847759 33.306099)",40,3,225.25,,
323,14381BA,399.5,3,1198.5,4794,,"LINESTRING (-111.847759 33.306099, -111.850263 33.306117)",40,3,399.5,,
324,14388AB,407.375,2,814.75,3259,,"LINESTRING (-111.841626 33.320668, -111.841531 33.313376)",41,2,407.375,,
325,14388BA,514.25,2,1028.5,4114,,"LINESTRING (-111.841531 33.313376, -111.841626 33.320668)",41,2,514.25,,
326,14402AB,384.5,2,769,3076,,"LINESTRING (-111.859085 33.335082, -111.859105 33.329841)",40,2,384.5,,
327,14402BA,549.625,2,1099.25,4397,,"LINESTRING (-111.859105 33.329841, -111.859085 33.335082)",40,2,549.625,,
328,14411AB,394.625,2,789.25,3157,,"LINESTRING (-111.859058 33.360162, -111.859094 33.354022)",40,2,394.625,,
329,14411BA,490,2,980,3920,,"LINESTRING (-111.859094 33.354022, -111.859058 33.360162)",40,2,490,,
330,14419AB,286.75,3,860.25,3441,,"LINESTRING (-111.841811 33.349735, -111.841741 33.343605)",40,3,286.75,,
331,14419BA,447.25,3,1341.75,5367,,"LINESTRING (-111.841741 33.343605, -111.841811 33.349735)",40,3,447.25,,
332,14440AB,386.6875,2,773.375,3093.5,,"LINESTRING (-111.824147 33.320708, -111.824134 33.313474)",41,2,386.6875,,
333,14440BA,581.375,2,1162.75,4651,,"LINESTRING (-111.824134 33.313474, -111.824147 33.320708)",41,2,581.375,,
334,14466AB,204.6666667,3,614.0000001,2456,,"LINESTRING (-111.824392 33.349726, -111.824336 33.345628)",41,3,204.6666667,,
335,14466BA,396.7083334,3,1190.125,4760.500001,,"LINESTRING (-111.824336 33.345628, -111.824392 33.349726)",41,3,396.7083334,,
336,14470AB,315.25,3,945.75,3783,,"LINESTRING (-111.82444 33.356925, -111.824397 33.355058)",40,3,315.25,,
337,14470BA,430.375,3,1291.125,5164.5,,"LINESTRING (-111.824397 33.355058, -111.82444 33.356925)",40,3,430.375,,
338,14488AB,222.125,4,888.5,3554,,"LINESTRING (-111.857232 33.393103, -111.857287 33.39091)",40,4,222.125,,
339,14488BA,298.75,4,1195,4780,,"LINESTRING (-111.857287 33.39091, -111.857232 33.393103)",40,4,298.75,,
340,14498AB,489.45,2,978.9,3915.6,,"LINESTRING (-111.805463 33.393364, -111.805494 33.389876)",40,2,489.45,,
341,14498BA,444,2,888,3552,,"LINESTRING (-111.805494 33.389876, -111.805463 33.393364)",40,2,444,,
342,14500AB,476.5,2,953,3812,,"LINESTRING (-111.83064 33.393343, -111.83634 33.393364)",40,2,476.5,,
343,14500BA,278.625,2,557.25,2229,,"LINESTRING (-111.83634 33.393364, -111.83064 33.393343)",40,2,278.625,,
344,14501AB,396.75,3,1190.25,4761,,"LINESTRING (-111.822937 33.393335, -111.822934 33.389624)",40,3,396.75,,
345,14501BA,598.25,2,1196.5,4786,,"LINESTRING (-111.822934 33.389624, -111.822937 33.393335)",40,2,598.25,,
346,14502AB,399.125,3,1197.375,4789.5,,"LINESTRING (-111.84005 33.393305, -111.840056 33.389773)",40,3,399.125,,
347,14502BA,496,3,1488,5952,,"LINESTRING (-111.840056 33.389773, -111.84005 33.393305)",40,3,496,,
348,14536AB,342.75,3,1028.25,4113,,"LINESTRING (-111.859764 33.378749, -111.863915 33.378703)",40,3,342.75,,
349,14536BA,139.125,3,417.375,1669.5,,"LINESTRING (-111.863915 33.378703, -111.859764 33.378749)",40,3,139.125,,
350,14539AB,343.75,3,1031.25,4125,,"LINESTRING (-111.857753 33.383399, -111.858377 33.382363)",40,3,343.75,,
351,14539BA,440.875,3,1322.625,5290.5,,"LINESTRING (-111.858377 33.382363, -111.857753 33.383399)",40,3,440.875,,
352,14613AB,492.375,3,1477.125,5908.5,,"LINESTRING (-111.84005 33.382369, -111.841091 33.378789)",40,3,492.375,,
353,14613BA,515.75,3,1547.25,6189,,"LINESTRING (-111.841091 33.378789, -111.84005 33.382369)",40,3,515.75,,
354,14729AB,181.25,3,543.75,2175,,"LINESTRING (-111.8411 33.407794, -111.839067 33.40789)",40,3,181.25,,
355,14729BA,309.25,3,927.75,3711,,"LINESTRING (-111.839067 33.40789, -111.8411 33.407794)",40,3,309.25,,
356,14757AB,391.625,3,1174.875,4699.5,,"LINESTRING (-111.824888 33.37883, -111.833986 33.378798)",40,3,391.625,,
357,14757BA,159.125,3,477.375,1909.5,,"LINESTRING (-111.833986 33.378798, -111.824888 33.37883)",40,3,159.125,,
358,14770AB,408.2692308,3,1224.807692,4899.23077,,"LINESTRING (-111.823248 33.382259, -111.824888 33.37883)",40,3,408.2692308,,
359,14770BA,417.5,3,1252.5,5010,,"LINESTRING (-111.824888 33.37883, -111.823248 33.382259)",40,3,417.5,,
360,14833AB,352.7857143,3,1058.357143,4233.428572,,"LINESTRING (-111.805574 33.384472, -111.805893 33.382519)",40,3,352.7857143,,
361,14833BA,422.25,3,1266.75,5067,,"LINESTRING (-111.805893 33.382519, -111.805574 33.384472)",40,3,422.25,,
362,14888AB,167,1,167,668,,"LINESTRING (-111.836711 33.415114, -111.831497 33.415103)",40,1,167,,
363,14888BA,287.25,1,287.25,1149,,"LINESTRING (-111.831497 33.415103, -111.836711 33.415114)",40,1,287.25,,
364,14897AB,295.5,2,591,2364,,"LINESTRING (-111.834078 33.422315, -111.83148 33.422323)",40,2,295.5,,
365,14897BA,610.375,2,1220.75,4883,,"LINESTRING (-111.83148 33.422323, -111.834078 33.422315)",40,2,610.375,,
366,14974AB,193.125,3,579.375,2317.5,,"LINESTRING (-111.908896 33.491237, -111.908903 33.487612)",40,3,193.125,,
367,14974BA,352.875,3,1058.625,4234.5,,"LINESTRING (-111.908903 33.487612, -111.908896 33.491237)",40,3,352.875,,
368,15016AB,215.625,3,646.875,2587.5,,"LINESTRING (-111.926326 33.458482, -111.926378 33.454884)",35,3,215.625,,
369,15016BA,312.2962963,3,936.8888889,3747.555556,,"LINESTRING (-111.926378 33.454884, -111.926326 33.458482)",35,3,312.2962963,,
370,15029AB,1119.875,1,1119.875,4479.5,,"LINESTRING (-111.890748 33.44396, -111.889312 33.458878)",70,1,1119.875,,
371,15030AB,439.5,1,439.5,1758,,"LINESTRING (-111.88953 33.458882, -111.890958 33.44407)",70,1,439.5,,
372,15083AB,293.1111111,3,879.3333333,3517.333333,,"LINESTRING (-111.926217 33.434026, -111.92624 33.434522)",35,3,293.1111111,,
373,15083BA,342.3333333,3,1027,4108,,"LINESTRING (-111.92624 33.434522, -111.926217 33.434026)",35,3,342.3333333,,
374,15125AB,291.5625,2,583.125,2332.5,,"LINESTRING (-111.922119 33.451235, -111.926371 33.451223)",35,2,291.5625,,
375,15125BA,156.875,2,313.75,1255,,"LINESTRING (-111.926371 33.451223, -111.922119 33.451235)",35,2,156.875,,
376,15131AB,292.875,3,878.625,3514.5,,"LINESTRING (-111.909131 33.431187, -111.909048 33.429256)",35,3,292.875,,
377,15131BA,459.625,2,919.25,3677,,"LINESTRING (-111.909048 33.429256, -111.909131 33.431187)",35,2,459.625,,
378,15223AB,157.125,2,314.25,1257,,"LINESTRING (-111.934765 33.483892, -111.934761 33.480298)",28,2,157.125,,
379,15223BA,184.75,2,369.5,1478,,"LINESTRING (-111.934761 33.480298, -111.934765 33.483892)",28,2,184.75,,
380,15238AB,206.5,3,619.5,2478,,"LINESTRING (-111.926171 33.476816, -111.926154 33.473073)",40,3,206.5,,
381,15238BA,360.5,3,1081.5,4326,,"LINESTRING (-111.926154 33.473073, -111.926171 33.476816)",40,3,360.5,,
382,15254AB,194.375,3,583.125,2332.5,,"LINESTRING (-111.908829 33.465793, -111.909046 33.458556)",40,3,194.375,,
383,15254BA,299.25,3,897.75,3591,,"LINESTRING (-111.909046 33.458556, -111.908829 33.465793)",40,3,299.25,,
384,15311AB,223.5,2,447,1788,,"LINESTRING (-111.90039 33.42928, -111.892843 33.429341)",28,2,223.5,,
