gps_trace_id,agent_id,x_coord,y_coord,global_sec,interval,relative_sec,distance,speed
0,25592BA,-112.099911,33.691122,0,0,0,0.000000,0.000000,
1,25592BA,-112.100042,33.698262,0,0,0,0.007141,0.007141,
0,25834AB,-112.065470,33.630533,0,0,0,0.000000,0.000000,
1,25834AB,-112.065451,33.625770,0,0,0,0.004763,0.004763,
0,25834BA,-112.065451,33.625770,0,0,0,0.000000,0.000000,
1,25834BA,-112.065470,33.630533,0,0,0,0.004763,0.004763,
0,26188AB,-112.065571,33.654825,0,0,0,0.000000,0.000000,
1,26188AB,-112.065548,33.647570,0,0,0,0.007255,0.007255,
0,26188BA,-112.065548,33.647570,0,0,0,0.000000,0.000000,
1,26188BA,-112.065571,33.654825,0,0,0,0.007255,0.007255,
0,26190AB,-112.039466,33.632806,0,0,0,0.000000,0.000000,
1,26190AB,-112.030781,33.631868,0,0,0,0.008736,0.008736,
0,26190BA,-112.030781,33.631868,0,0,0,0.000000,0.000000,
1,26190BA,-112.039466,33.632806,0,0,0,0.008736,0.008736,
0,26195AB,-112.056408,33.669042,0,0,0,0.000000,0.000000,
1,26195AB,-112.016935,33.672713,0,0,0,0.039643,0.039643,
0,26196AB,-112.016892,33.672872,0,0,0,0.000000,0.000000,
1,26196AB,-112.056479,33.669177,0,0,0,0.039759,0.039759,
0,26200AB,-112.048184,33.640388,0,0,0,0.000000,0.000000,
1,26200AB,-112.056858,33.640338,0,0,0,0.008674,0.008674,
0,26200BA,-112.056858,33.640338,0,0,0,0.000000,0.000000,
1,26200BA,-112.048184,33.640388,0,0,0,0.008674,0.008674,
0,26236AB,-112.056885,33.654840,0,0,0,0.000000,0.000000,
1,26236AB,-112.065571,33.654825,0,0,0,0.008686,0.008686,
0,26236BA,-112.065571,33.654825,0,0,0,0.000000,0.000000,
1,26236BA,-112.056885,33.654840,0,0,0,0.008686,0.008686,
0,26256AB,-112.065637,33.683837,0,0,0,0.000000,0.000000,
1,26256AB,-112.065654,33.676580,0,0,0,0.007257,0.007257,
0,26256BA,-112.065654,33.676580,0,0,0,0.000000,0.000000,
1,26256BA,-112.065637,33.683837,0,0,0,0.007257,0.007257,
0,26296AB,-112.030781,33.631868,0,0,0,0.000000,0.000000,
1,26296AB,-112.030839,33.626844,0,0,0,0.005024,0.005024,
0,26296BA,-112.030839,33.626844,0,0,0,0.000000,0.000000,
