agent_id,o_node_id,d_node_id,o_zone_id,d_zone_id,o_cell_id,d_cell_id,volume,departure_time,travel_time,distance,node_sequence,first_from_node_id,first_to_node_id,first_link_lanes,first_link_free_speed,first_link_V/C,first_link_TTI,geometry
20739AB,9028400,9028402,1016,1016,-2243999328,-2243999328,531.958313,0.000000,0.000000,0.000000,9028400;9028402;,9028400,9028402,1,41.000000,0.792784,-1.000000,"LINESTRING (-112.195010 33.638650,-112.195330 33.638640,)"
20739BA,9028401,9028405,1016,1016,-2243999328,-2243999328,281.625000,0.000000,0.000000,0.000000,9028401;9028405;,9028401,9028405,1,41.000000,0.493214,-1.000000,"LINESTRING (-112.195350 33.638500,-112.195140 33.638710,)"
20749AB,325201,37900,2733,2733,-2244999327,-2244999327,1016.656250,0.000000,0.000000,0.000000,325201;37900;,325201,37900,1,71.000000,0.596629,-1.000000,"LINESTRING (-112.205290 33.668280,-112.210150 33.667820,)"
20750AB,74502,74600,2733,2733,-2244999327,-2244999327,1244.312500,0.000000,0.000000,0.000000,74502;74600;,74502,74600,1,71.000000,0.730230,-1.000000,"LINESTRING (-112.210150 33.667590,-112.205510 33.667410,)"
20755AB,63200,74502,2733,2733,-2244999327,-2244999327,968.125000,0.000000,0.000000,0.000000,63200;74502;,63200,74502,5,71.000000,0.568015,-1.000000,"LINESTRING (-112.210980 33.667570,-112.210150 33.667590,)"
20756AB,325201,37900,2733,2733,-2244999327,-2244999327,280.625000,0.000000,0.000000,0.000000,325201;37900;,325201,37900,1,71.000000,0.164686,-1.000000,"LINESTRING (-112.205290 33.668280,-112.210150 33.667820,)"
21503AB,204500,48700,2733,2733,-2244999327,-2244999327,665.187500,0.000000,0.000000,0.000000,204500;48700;,204500,48700,4,41.000000,0.990968,-1.000000,"LINESTRING (-112.203150 33.676060,-112.203140 33.675830,)"
21503BA,204601,204700,2733,2733,-2244999327,-2244999327,238.000000,0.000000,0.000000,0.000000,204601;204700;,204601,204700,3,41.000000,0.354518,-1.000000,"LINESTRING (-112.203010 33.676770,-112.203020 33.676820,)"
23183AB,272900,272700,2733,2733,-2244999327,-2244999327,309.083344,0.000000,0.000000,0.000000,272900;272700;,272900,272700,2,41.000000,0.460288,-1.000000,"LINESTRING (-112.203100 33.666580,-112.203090 33.665960,)"
23183BA,317201,272900,2733,2733,-2244999327,-2244999327,193.541672,0.000000,0.000000,0.000000,317201;272900;,317201,272900,1,41.000000,0.288438,-1.000000,"LINESTRING (-112.202930 33.666030,-112.203100 33.666580,)"
23683AB,281100,9029903,308,308,-2241999327,-2241999327,180.500000,0.000000,0.000000,0.000000,281100;9029903;,281100,9029903,4,40.000000,0.316112,-1.000000,"LINESTRING (-112.073750 33.683820,-112.074040 33.683820,)"
23683BA,9029904,9029900,308,308,-2241999327,-2241999327,369.083344,0.000000,0.000000,0.000000,9029904;9029900;,9029904,9029900,1,20.000000,0.011073,-1.000000,"LINESTRING (-112.074180 33.683610,-112.074070 33.683690,)"
23696AB,75500,128300,459,459,-2242999327,-2242999327,863.900024,0.000000,0.000000,0.000000,75500;128300;,75500,128300,4,70.000000,0.496209,-1.000000,"LINESTRING (-112.112280 33.684150,-112.112290 33.684980,)"
23701AB,9038801,9038800,90051,90051,-2240999327,-2240999327,275.833344,0.000000,0.000000,0.000000,9038801;9038800;,9038801,9038800,1,41.000000,0.411078,-1.000000,"LINESTRING (-112.005410 33.684090,-112.004930 33.684100,)"
23701BA,9038802,9038803,90051,90051,-2240999327,-2240999327,115.375000,0.000000,0.000000,0.000000,9038802;9038803;,9038802,9038803,1,41.000000,0.171945,-1.000000,"LINESTRING (-112.004910 33.684240,-112.005400 33.684230,)"
